"BehaviorSpace results (NetLogo 6.0.2)"
"business_investor_class_19.nlogo"
"vary-stochasticity"
"03/20/2018 23:08:27:929 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","18","0","18"
"[run number]","stochastic?","failure-max","p-low-profit-low-risk","turtle-coloring-mode","p-high-profit-high-risk","failure-min","p-low-profit-high-risk","max-ticks","p-high-profit-low-risk","color-patches-by","num-investors","[step]","mean [wealth] of turtles","standard-deviation [wealth] of turtles"
"8","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","5","35207.53332043769","13302.369660862481"
"15","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","4","28496.892962166443","10077.302201202947"
"18","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","2","15508.859852539948","3675.9863391928516"
"12","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","7","44832.40183919263","18939.098146631994"
"2","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","5","36910.37530394743","11354.243756909333"
"10","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","5","36625.405340692916","11520.73143208222"
"6","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","4","30513.126810149424","8762.940583768552"
"5","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","5","33872.77130949222","14333.83318384891"
"17","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","4","29679.21214431953","9516.966539418614"
"9","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","8","55038.08980210943","21933.097471518577"
"7","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","5","36904.057502096846","12096.416313016412"
"3","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","6","39004.54946333081","16016.93478980195"
"11","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","7","45730.7502600184","19260.038882738674"
"16","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","4","29374.266449616145","8871.365265812914"
"20","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","5","33033.17026089148","13365.649953218097"
"12","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","8","51217.7636100308","20615.023832448147"
"15","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","5","35669.48195180719","11723.289476754273"
"19","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","7","45135.40066592626","20187.969404345553"
"13","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","5","36401.78299975444","11406.584229972179"
"18","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","3","23060.653381702155","5715.354419524923"
"4","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","6","43308.94418927329","12528.233072596602"
"14","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","6","42534.258236371636","13073.507168949433"
"3","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","7","45822.23121633624","17470.52758436482"
"9","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","9","58527.13621335959","27078.38585457241"
"6","false","0.1","4.9","""wealth""","5.4","0.01","0","25","83.4","""profit""","100","5","36316.26390222582","12690.168467131884"
