"BehaviorSpace results (NetLogo 6.2.0)"
"business_investor_class_18.nlogo"
"get-probabilities"
"10/27/2021 23:35:30:308 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","18","0","18"
"[run number]","stochastic?","failure-max","p-high-profit-high-risk","turtle-coloring-mode","p-low-profit-low-risk","failure-min","p-low-profit-high-risk","max-ticks","p-high-profit-low-risk","color-patches-by","num-investors","[step]","p-hplr","p-hphr","p-lplr","p-lphr","p-same"
"14","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","3","0.8823529411764706","0.42857142857142855","0.09259259259259259","0","0.5733333333333334"
"19","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","1","0.8","0.6666666666666666","0","0","0.28"
"5","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","1","0.4166666666666667","0.8","0","0","0.32"
"13","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","1","0.6153846153846154","0.7619047619047619","0.07692307692307693","0","0"
"18","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","1","0.5625","0.6666666666666666","0","0","0.08"
"2","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","2","0.8421052631578947","0.5625","0.024390243902439025","0","0.48"
"4","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","2","0.5833333333333334","0.6086956521739131","0.0625","0","0.4"
"1","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","17","0.6111111111111112","0.1349206349206349","0.03215434083601286","0","0.9105882352941177"
"3","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","1","0.6428571428571429","0.45","0","0","0.28"
"14","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","4","0.8888888888888888","0.38235294117647056","0.07042253521126761","0","0.66"
"6","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","4","0.782608695652174","0.30952380952380953","0.05333333333333334","0","0.65"
"17","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","2","0.6470588235294118","0.5454545454545454","0.10256410256410256","0","0.46"
"8","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","2","0.7692307692307693","0.7368421052631579","0","0","0.52"
"9","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","2","0.6666666666666666","0.45454545454545453","0.024390243902439025","0","0.46"
"12","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","1","0.7142857142857143","0.5","0","0","0.36"
"1","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","18","0.6111111111111112","0.1259259259259259","0.03058103975535168","0","0.9155555555555556"
"16","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","2","0.7777777777777778","0.5652173913043478","0.02702702702702703","0","0.44"
"11","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","6","0.9375","0.17142857142857143","0.018518518518518517","0","0.8466666666666667"
"14","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","5","0.8947368421052632","0.3333333333333333","0.056179775280898875","0","0.72"
"1","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","19","0.6111111111111112","0.11805555555555555","0.03206997084548105","0","0.9178947368421052"
"5","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","2","0.5333333333333333","0.7058823529411765","0","0","0.6"
"20","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","1","0.875","0.4666666666666667","0.0625","0","0.12"
"15","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","1","0.6666666666666666","0.6190476190476191","0","0","0"
"7","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","9","0.8","0.15254237288135594","0.026595744680851064","0","0.8666666666666667"
"1","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","20","0.6111111111111112","0.1111111111111111","0.036211699164345405","0","0.918"
"13","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","2","0.6875","0.6774193548387096","0.058823529411764705","0","0.32"
"8","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","3","0.7692307692307693","0.6818181818181818","0.05660377358490566","0","0.6266666666666667"
"10","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","3","0.7222222222222222","0.4857142857142857","0.047619047619047616","0","0.56"
"2","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","3","0.8","0.5238095238095238","0.016666666666666666","0","0.6266666666666667"
"18","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","2","0.5882352941176471","0.72","0.03125","0","0.42"
"19","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","2","0.8461538461538461","0.5789473684210527","0","0","0.56"
"7","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","10","0.8","0.13432835820895522","0.024154589371980676","0","0.88"
"3","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","2","0.6666666666666666","0.4074074074074074","0.02631578947368421","0","0.56"
"9","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","3","0.6666666666666666","0.38461538461538464","0.015384615384615385","0","0.64"
"16","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","3","0.7777777777777778","0.5357142857142857","0.05357142857142857","0","0.5733333333333334"
"4","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","3","0.6","0.5185185185185185","0.0392156862745098","0","0.5866666666666667"
"1","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","21","0.6111111111111112","0.10365853658536585","0.034759358288770054","0","0.9219047619047619"
"6","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","5","0.782608695652174","0.26","0.06382978723404255","0","0.704"
"12","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","2","0.6875","0.5","0.05","0","0.56"
"11","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","7","0.9375","0.15","0.016","0","0.8685714285714285"
"17","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","3","0.6470588235294118","0.4444444444444444","0.06666666666666667","0","0.64"
"14","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","6","0.8947368421052632","0.3333333333333333","0.04716981132075472","0","0.7533333333333333"
"5","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","3","0.5333333333333333","0.631578947368421","0.01694915254237288","0","0.72"
"1","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","22","0.6111111111111112","0.09714285714285714","0.033419023136246784","0","0.9254545454545454"
"7","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","11","0.8","0.12","0.02654867256637168","0","0.8872727272727273"
"18","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","3","0.6111111111111112","0.6666666666666666","0.018518518518518517","0","0.6"
"20","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","2","0.8823529411764706","0.5","0.029411764705882353","0","0.46"
"15","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","2","0.7142857142857143","0.6153846153846154","0.030303030303030304","0","0.36"
"11","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","8","0.9375","0.13333333333333333","0.014084507042253521","0","0.885"
