"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"business_investor_class_18.nlogo"
"get-probabilities"
"10/21/2025 22:01:06:012 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","18","0","18"
"[run number]","stochastic?","failure-max","p-high-profit-high-risk","turtle-coloring-mode","p-low-profit-low-risk","failure-min","p-low-profit-high-risk","max-ticks","p-high-profit-low-risk","color-patches-by","num-investors","[step]","p-hplr","p-hphr","p-lplr","p-lphr","p-same"
"11","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","3","0.7222222222222222","0.631578947368421","0.03333333333333333","0","0.64"
"9","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","4","0.7142857142857143","0.4642857142857143","0.015151515151515152","0","0.71"
"14","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","4","0.8823529411764706","0.36363636363636365","0.04878048780487805","0","0.69"
"12","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","6","0.7391304347826086","0.3448275862068966","0.01","0","0.8133333333333334"
"6","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","4","0.8823529411764706","0.38461538461538464","0.031746031746031744","0","0.73"
"7","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","4","0.8","0.30303030303030304","0.023809523809523808","0","0.72"
"5","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","5","0.7368421052631579","0.46153846153846156","0.041237113402061855","0","0.76"
"3","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","6","0.9473684210526315","0.2","0.019801980198019802","0","0.8266666666666667"
"8","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","6","0.9130434782608695","0.19148936170212766","0.045454545454545456","0","0.7666666666666667"
"4","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","6","0.8888888888888888","0.2702702702702703","0.06779661016949153","0","0.7733333333333333"
"15","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","6","0.7894736842105263","0.4117647058823529","0.03636363636363636","0","0.78"
"9","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","5","0.7142857142857143","0.41935483870967744","0.012195121951219513","0","0.768"
"1","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","5","0.7142857142857143","0.5357142857142857","0.041237113402061855","0","0.728"
"14","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","5","0.8823529411764706","0.325","0.049019607843137254","0","0.736"
"2","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","5","0.9411764705882353","0.17647058823529413","0.10588235294117647","0","0.728"
"13","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","6","0.7058823529411765","0.3902439024390244","0.04838709677419355","0","0.7733333333333333"
"12","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","7","0.7391304347826086","0.30303030303030304","0.017094017094017096","0","0.8342857142857143"
"11","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","4","0.7222222222222222","0.5714285714285714","0.02531645569620253","0","0.73"
"5","false","0.1","4.6","wealth","3.2","0.01","0","25","80","exp utility","25","6","0.7368421052631579","0.4","0.043859649122807015","0","0.7933333333333333"
