"BehaviorSpace results (NetLogo 6.1.0)"
"business_investor_class_18.nlogo"
"vary-probabilities"
"10/21/2019 22:58:03:924 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","18","0","18"
"[run number]","stochastic?","failure-max","p-low-profit-low-risk","turtle-coloring-mode","p-high-profit-high-risk","failure-min","p-low-profit-high-risk","max-ticks","p-high-profit-low-risk","color-patches-by","num-investors","[step]","mean [wealth] of turtles","standard-deviation [wealth] of turtles"
"108","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","138158.96628765675","135094.28596542362"
"88","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","130350.49213525522","88915.31222811942"
"112","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","142800.78691532003","156427.77200233057"
"93","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","146836.57810167555","200559.30903526268"
"110","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","191070.83968562397","167095.1862786788"
"113","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","148683.93968690067","132199.68523987333"
"116","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","148425.536436719","146058.53864882272"
"118","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","174683.9979885809","159056.78634818023"
"114","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","128054.04186401254","128546.020539687"
"111","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","116128.13158999832","121083.01769561895"
"92","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","114880.7447185157","133008.50358861656"
"121","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","188632.6812261391","171809.3687918837"
"117","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","179490.0089684878","212948.6248182621"
"96","true","0.1","0","wealth","0","0.01","0","25","70","exp utility","25","24","150653.79828870622","148140.99311810144"
"120","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","154706.60509826645","116581.28523528697"
"106","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","139696.71811787057","104819.81526449374"
"122","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","130798.17834260869","124317.40913643633"
"129","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","148406.77506135617","132571.46101506715"
"126","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","145216.77391873315","103353.20783243355"
"130","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","146078.5072060099","127753.19870023335"
"131","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","180317.29538705916","163361.27419085693"
"124","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","149767.33039747828","124896.77199316277"
"128","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","152300.51559036615","135462.7971924131"
"132","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","185199.88043857898","147411.0911996223"
"135","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","139637.11436093604","122319.25872830518"
"133","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","152959.85109153404","145970.41802282518"
"119","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","161418.65661000888","141435.687530196"
"136","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","161151.00641260168","127723.33443352058"
"141","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","166219.23945787796","170070.69106027426"
"144","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","159679.27261709672","168347.90496057426"
"142","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","209088.63803313987","186797.14682874113"
"143","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","144959.99163827428","104640.30195288255"
"138","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","163259.84295090364","136508.39278565382"
"148","true","0.1","0","wealth","0","0.01","0","25","80","exp utility","25","24","130437.7337457418","133507.1985720404"
