"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"segregation.nlogo"
"first-experiment"
"11/12/2024 22:20:13:110 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","density","%-similar-wanted","[step]","percent-similar"
"90","50","20","7","59.294871794871796"
"95","50","20","6","59.9035757332262"
"97","50","20","4","60.66368381804623"
"94","50","20","6","58.48701543093715"
"98","50","20","4","61.04328523862376"
"99","50","20","4","59.856765925367505"
"100","50","20","8","59.69924812030075"
"102","50","25","6","64.00445765230312"
"105","50","25","5","68.41477949940405"
"106","50","25","7","65.14930808448652"
"101","50","25","9","63.369175627240146"
"107","50","25","8","65.42914171656686"
"108","50","25","7","61.99111769059955"
"110","50","25","7","64.1321044546851"
"111","50","25","6","64.7590361445783"
"104","50","25","8","66.61490683229813"
"109","50","25","9","63.24067300658376"
"103","50","25","10","66.21572212065814"
"112","50","25","9","66.69291338582677"
"113","50","25","8","66.3019693654267"
"114","50","25","10","64.34560699963544"
"115","50","25","7","65.57620817843866"
"116","50","25","7","66.84210526315789"
"119","50","25","7","66.10751048417842"
"117","50","25","9","64.3361844551878"
"120","50","25","8","68.51159311892296"
"118","50","25","7","65.50141242937853"
"122","50","30","8","74.83044461190656"
"124","50","30","8","73.20099255583126"
"123","50","30","12","72.80155642023345"
"129","50","30","8","74.9170047952785"
"125","50","30","10","74.33786685755189"
"121","50","30","12","73.11951126384116"
"127","50","30","10","74.2845786963434"
"128","50","30","10","74.72527472527473"
"126","50","30","12","73.29192546583852"
"130","50","30","14","74.99021526418787"
"132","50","30","9","74.78359051561911"
"136","50","30","13","74.60443037974683"
"134","50","30","10","75.01951600312256"
"133","50","30","11","76.79663608562691"
"137","50","30","9","74.6589499793303"
"135","50","30","12","74.60007803355442"
"140","50","30","8","74.35700575815738"
"131","50","30","18","74.00228050171037"
"138","50","30","10","73.96101507907319"
"139","50","30","11","76.4116940328394"
"141","50","35","12","84.15841584158416"
"145","50","35","11","83.30019880715706"
"148","50","35","11","84.0134780980906"
"147","50","35","12","83.6874324810947"
"150","50","35","10","82.70392749244712"
"143","50","35","14","83.6059867734076"
"146","50","35","11","83.02153194493471"
"144","50","35","14","83.1006612784717"
"151","50","35","14","81.76964149504195"
"142","50","35","17","83.38278931750742"
"149","50","35","15","82.78599783471671"
"153","50","35","14","85.07229386479094"
"152","50","35","13","83.33333333333334"
"154","50","35","13","82.74523641496118"
"155","50","35","12","82.99392640228653"
"156","50","35","10","82.77494537509105"
"158","50","35","10","82.078022402472"
"162","50","40","11","84.73684210526315"
"157","50","35","16","82.20029239766082"
"164","50","40","12","84.28015564202335"
"160","50","35","15","83.37236533957847"
"159","50","35","13","84.35324294613412"
"163","50","40","10","83.64779874213836"
"169","50","40","11","81.61452298184628"
"167","50","40","14","81.52254249815225"
"161","50","40","15","84.64609800362976"
"172","50","40","11","81.19908765070055"
"166","50","40","15","85.99683544303798"
"168","50","40","12","82.48882265275708"
"177","50","40","9","85.82317073170732"
"171","50","40","12","83.06238185255198"
