"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"butterfly_class_06b.nlogox"
"terrrain-experiment"
"08/26/2026 09:53:15:460 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","149","0","149"
"[run number]","q","real-terrain","concentrate-turtles","[step]","corridor-width","mean [elevation] of turtles"
"105","0.4","true","true","999","59.33060954881019","601.5999999999998"
"106","0.4","true","true","999","58.81083055936201","602.7446000000003"
"107","0.4","true","true","999","62.7453427037999","602.8898000000002"
"108","0.4","true","true","999","60.49988807641737","604.4657999999994"
"109","0.4","true","true","999","61.74289277289441","604.732"
"110","0.4","true","true","999","61.23220112192965","602.9884000000001"
"111","0.4","true","true","999","62.66311623946402","604.5928"
"112","0.4","true","true","999","59.03224806297441","603.609"
"113","0.4","true","true","999","59.29769695642153","603.5921999999996"
"114","0.4","true","true","999","58.68458027959385","603.9446"
"115","0.4","true","true","999","57.24291879323175","604.7387999999997"
"116","0.4","true","true","999","66.16634772143047","602.2091999999997"
"117","0.4","true","true","999","61.82523505710666","601.6101999999998"
"118","0.4","true","true","999","62.117974041583956","601.2097999999994"
"119","0.4","true","true","999","55.38031640969036","602.7578"
"121","0.6","false","true","999","71.26786060486401","399.648893420939"
"120","0.4","true","true","999","59.657742274864574","603.3975999999996"
"122","0.6","false","true","999","72.26164263974226","399.61586285165725"
"123","0.6","false","true","999","71.14227432689691","399.6279249240055"
"124","0.6","false","true","999","73.39960993745906","399.65324053512234"
"125","0.6","false","true","999","72.10582935994256","399.6639241619203"
"127","0.6","false","true","999","72.21726149356871","399.674921104002"
"126","0.6","false","true","999","71.46166117524773","399.65565929693867"
"129","0.6","false","true","999","72.1974035198382","399.7143870967179"
"128","0.6","false","true","999","72.3975258734332","399.6736874943522"
"131","0.6","false","true","999","70.95182000589581","399.6894543087255"
"130","0.6","false","true","999","68.5310494198063","399.696700407458"
"132","0.6","false","true","999","70.56198322853","399.6690007022534"
"133","0.6","false","true","999","69.90577958373326","399.6983163728175"
"137","0.6","false","true","999","73.10545725812986","399.63112715003507"
"134","0.6","false","true","999","68.66659543058093","399.6354992544447"
"135","0.6","false","true","999","73.23037502758551","399.6706990241783"
"136","0.6","false","true","999","65.78505370315644","399.68390428739576"
"138","0.6","false","true","999","70.66791977546971","399.6839626809281"
"139","0.6","false","true","999","73.60693135744779","399.64442266244424"
"140","0.6","false","true","999","70.15204992486883","399.675273464748"
"143","0.6","true","true","999","32.48075606866701","599.4600000000004"
"141","0.6","true","true","999","32.65252759909266","597.8033999999994"
"142","0.6","true","true","999","30.45595064276846","598.3826000000004"
"144","0.6","true","true","999","35.02274566815326","599.9943999999997"
"145","0.6","true","true","999","34.21595293998502","597.1483999999997"
"149","0.6","true","true","999","33.434692392724614","597.6758"
"147","0.6","true","true","999","32.50853611263412","594.6703999999995"
"146","0.6","true","true","999","35.258364366288326","596.4479999999996"
"148","0.6","true","true","999","32.64619528669752","598.4912"
"150","0.6","true","true","999","31.854626845670467","599.7729999999999"
"151","0.6","true","true","999","30.965969953484468","597.3363999999996"
"152","0.6","true","true","999","32.26216236562374","598.3327999999997"
"161","0.8","false","true","999","49.53295420378508","399.8404597661186"
"153","0.6","true","true","999","32.22158579736639","600.2554"
"154","0.6","true","true","999","32.95191685230507","599.7831999999997"
"155","0.6","true","true","999","33.04190041028263","598.7438"
"156","0.6","true","true","999","33.91196830947451","598.6365999999995"
"162","0.8","false","true","999","51.174012852176915","399.84890849389535"
"157","0.6","true","true","999","32.97368538027569","600.6976"
"158","0.6","true","true","999","34.01170307898576","596.1907999999997"
"160","0.6","true","true","999","30.189850534048503","598.7966000000002"
"163","0.8","false","true","999","50.941261953760176","399.86854508929133"
"164","0.8","false","true","999","50.37776670403029","399.8552847828693"
"159","0.6","true","true","999","32.03491951173254","598.6528000000006"
"165","0.8","false","true","999","50.70520400153848","399.8535904649824"
"166","0.8","false","true","999","51.141233449685224","399.8590382864433"
"167","0.8","false","true","999","51.35274327880601","399.8679081959823"
"168","0.8","false","true","999","48.83773971226057","399.8496345461937"
"169","0.8","false","true","999","50.78243485397874","399.8543174530189"
"170","0.8","false","true","999","49.554076583086754","399.838079412609"
"171","0.8","false","true","999","49.47413921726413","399.8556264860459"
"172","0.8","false","true","999","50.61810048885744","399.8404709616892"
"173","0.8","false","true","999","52.390315823556264","399.8596717035115"
"174","0.8","false","true","999","51.477360681021544","399.8598848930019"
"175","0.8","false","true","999","51.648576818474616","399.87336476355966"
"176","0.8","false","true","999","52.384458757751545","399.8355839602501"
"178","0.8","false","true","999","51.732296792344286","399.84757436551894"
"179","0.8","false","true","999","50.69312002223769","399.85385420465195"
"177","0.8","false","true","999","50.03356186597596","399.83954127668926"
"180","0.8","false","true","999","49.82055033136802","399.8604052723461"
"181","0.8","true","true","999","22.97932798663933","564.3586"
"183","0.8","true","true","999","22.44509868883131","562.5676"
"182","0.8","true","true","999","22.90883754946439","561.3788"
"184","0.8","true","true","999","22.80697739172734","562.9751999999997"
"186","0.8","true","true","999","23.239734927130694","561.2695999999999"
