"BehaviorSpace results (NetLogo 5.3.1)"
"wood_hoopoe_strategies.nlogo"
"optimize"
"04/06/2017 00:11:07:861 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-12","12","0","0"
"[run number]","x2","x1","p-vacant","strategy","[step]","age-diff","foray-timing","group-dist-1","group-dist-2","group-dist-3","performance"
"108","0.01","0","0.11","""expected reproduction""","264","1","0","1","1","0","1.6"
"117","0.01","0","0.12","""expected reproduction""","264","1","0","1","0","0","1.5"
"104","0.01","0","0.11","""expected reproduction""","264","1","0","1","1","0","1.6"
"112","0.01","0","0.12","""expected reproduction""","264","0","0","1","0","0","0.5"
"110","0.01","0","0.11","""expected reproduction""","264","1","0","1","1","0","1.6"
"118","0.01","0","0.12","""expected reproduction""","264","1","0","1","0","0","1.5"
"119","0.01","0","0.12","""expected reproduction""","264","1","0","1","0","0","1.5"
"120","0.01","0","0.12","""expected reproduction""","264","1","0","1","1","0","1.6"
"115","0.01","0","0.12","""expected reproduction""","264","1","0","1","0","0","1.5"
"109","0.01","0","0.11","""expected reproduction""","264","1","0","1","1","0","1.6"
"122","0.01","0","0.13","""expected reproduction""","264","0","0","1","1","0","0.6"
"123","0.01","0","0.13","""expected reproduction""","264","1","0","1","0","0","1.5"
"121","0.01","0","0.13","""expected reproduction""","264","0","0","1","0","0","0.5"
"124","0.01","0","0.13","""expected reproduction""","264","1","0","1","1","0","1.6"
"114","0.01","0","0.12","""expected reproduction""","264","0","0","1","0","0","0.5"
"127","0.01","0","0.13","""expected reproduction""","264","1","0","1","0","0","1.5"
"128","0.01","0","0.13","""expected reproduction""","264","1","0","1","0","0","1.5"
"116","0.01","0","0.12","""expected reproduction""","264","0","0","1","1","0","0.6"
"130","0.01","0","0.13","""expected reproduction""","264","1","0","1","0","0","1.5"
"126","0.01","0","0.13","""expected reproduction""","264","1","0","1","0","0","1.5"
"134","0.01","0","0.14","""expected reproduction""","264","1","0","1","0","0","1.5"
"135","0.01","0","0.14","""expected reproduction""","264","1","0","1","1","0","1.6"
"136","0.01","0","0.14","""expected reproduction""","264","1","0","1","0","0","1.5"
"132","0.01","0","0.14","""expected reproduction""","264","1","0","1","0","0","1.5"
"133","0.01","0","0.14","""expected reproduction""","264","1","0","1","0","0","1.5"
"125","0.01","0","0.13","""expected reproduction""","264","1","0","1","1","0","1.6"
"129","0.01","0","0.13","""expected reproduction""","264","1","0","1","0","0","1.5"
"142","0.01","0","0.15","""expected reproduction""","264","1","0","1","0","1","1.6"
"140","0.01","0","0.14","""expected reproduction""","264","1","0","1","1","0","1.6"
"139","0.01","0","0.14","""expected reproduction""","264","1","0","1","1","0","1.6"
"137","0.01","0","0.14","""expected reproduction""","264","1","0","1","1","0","1.6"
"131","0.01","0","0.14","""expected reproduction""","264","1","0","1","0","0","1.5"
"144","0.01","0","0.15","""expected reproduction""","264","1","0","1","1","0","1.6"
"141","0.01","0","0.15","""expected reproduction""","264","1","0","1","1","0","1.6"
"145","0.01","0","0.15","""expected reproduction""","264","1","0","1","0","0","1.5"
"138","0.01","0","0.14","""expected reproduction""","264","1","0","1","0","0","1.5"
"147","0.01","0","0.15","""expected reproduction""","264","1","0","1","1","0","1.6"
"149","0.01","0","0.15","""expected reproduction""","264","1","0","1","1","0","1.6"
"150","0.01","0","0.15","""expected reproduction""","264","1","0","1","0","0","1.5"
"151","0.01","0","0.16","""expected reproduction""","264","1","0","1","0","0","1.5"
"148","0.01","0","0.15","""expected reproduction""","264","1","0","1","1","0","1.6"
"143","0.01","0","0.15","""expected reproduction""","264","1","0","1","1","0","1.6"
"156","0.01","0","0.16","""expected reproduction""","264","1","0","1","0","0","1.5"
"157","0.01","0","0.16","""expected reproduction""","264","1","0","1","0","0","1.5"
