"BehaviorSpace results (NetLogo 6.1.0)"
"wild_dogs.nlogo"
"vary_initialization_pe"
"10/29/2019 00:44:01:307 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","num-initial-packs","mean-meeting-rate","mortality-adult","mortality-disperser","years-to-simulate","carrying-capacity","mean-initial-pack-size","[step]","p-extinction","time-to-extinction"
"280","6","1","0.2","0.44","100","60","8","1","0.45","81.99"
"281","6","1","0.2","0.44","100","60","10","1","0.61","72.98"
"282","6","1","0.2","0.44","100","60","10","1","0.57","78.14"
"283","6","1","0.2","0.44","100","60","10","1","0.58","77.59"
"285","6","1","0.2","0.44","100","60","10","1","0.59","78.13"
"284","6","1","0.2","0.44","100","60","10","1","0.53","79.23"
"286","6","1","0.2","0.44","100","60","10","1","0.56","76.56"
"287","6","1","0.2","0.44","100","60","10","1","0.49","80.64"
"288","6","1","0.2","0.44","100","60","10","1","0.53","80.25"
"289","6","1","0.2","0.44","100","60","10","1","0.48","78.51"
"292","6","1","0.2","0.44","100","60","10","1","0.6","76.01"
"294","6","1","0.2","0.44","100","60","10","1","0.55","79.69"
"291","6","1","0.2","0.44","100","60","10","1","0.52","79.5"
"297","6","1","0.2","0.44","100","60","10","1","0.65","78.15"
"293","6","1","0.2","0.44","100","60","10","1","0.52","81.06"
"295","6","1","0.2","0.44","100","60","10","1","0.53","80.14"
"290","6","1","0.2","0.44","100","60","10","1","0.41","83.27"
"296","6","1","0.2","0.44","100","60","10","1","0.51","81.14"
"299","6","1","0.2","0.44","100","60","10","1","0.58","78.3"
"298","6","1","0.2","0.44","100","60","10","1","0.51","82.77"
"305","8","1","0.2","0.44","100","60","2","1","0.7","56.91"
"301","8","1","0.2","0.44","100","60","2","1","0.76","60.89"
"303","8","1","0.2","0.44","100","60","2","1","0.74","59.63"
"304","8","1","0.2","0.44","100","60","2","1","0.7","60.64"
"306","8","1","0.2","0.44","100","60","2","1","0.77","57.06"
"302","8","1","0.2","0.44","100","60","2","1","0.71","63.39"
"307","8","1","0.2","0.44","100","60","2","1","0.71","58.24"
"300","6","1","0.2","0.44","100","60","10","1","0.51","81.57"
"308","8","1","0.2","0.44","100","60","2","1","0.69","62.9"
