"BehaviorSpace results (NetLogo 6.1.0)"
"wild_dogs.nlogo"
"vary_meeting_disp_mortality_pe"
"10/29/2019 01:00:55:953 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","num-initial-packs","mean-meeting-rate","mortality-adult","mortality-disperser","years-to-simulate","carrying-capacity","mean-initial-pack-size","[step]","p-extinction","time-to-extinction"
"146","10","0","0.2","0.55","100","60","5","1","0.87","54.09"
"148","10","0","0.2","0.55","100","60","5","1","0.91","51.17"
"150","10","0","0.2","0.55","100","60","5","1","0.84","58.48"
"149","10","0","0.2","0.55","100","60","5","1","0.85","59.01"
"147","10","0","0.2","0.55","100","60","5","1","0.82","59.97"
"152","10","0","0.2","0.55","100","60","5","1","0.82","58.24"
"145","10","0","0.2","0.55","100","60","5","1","0.81","61.92"
"157","10","0","0.2","0.55","100","60","5","1","0.83","52.98"
"158","10","0","0.2","0.55","100","60","5","1","0.86","57.12"
"155","10","0","0.2","0.55","100","60","5","1","0.85","55.24"
"151","10","0","0.2","0.55","100","60","5","1","0.83","61.5"
"154","10","0","0.2","0.55","100","60","5","1","0.81","60.78"
"153","10","0","0.2","0.55","100","60","5","1","0.8","62.31"
"156","10","0","0.2","0.55","100","60","5","1","0.8","60.54"
"159","10","0","0.2","0.55","100","60","5","1","0.8","59.83"
"160","10","0","0.2","0.55","100","60","5","1","0.79","63.46"
"161","10","0","0.2","0.6","100","60","5","1","0.87","53.77"
"163","10","0","0.2","0.6","100","60","5","1","0.85","57.05"
"162","10","0","0.2","0.6","100","60","5","1","0.79","58.22"
"164","10","0","0.2","0.6","100","60","5","1","0.85","56.93"
"165","10","0","0.2","0.6","100","60","5","1","0.82","58.09"
"169","10","0","0.2","0.6","100","60","5","1","0.89","56.13"
"168","10","0","0.2","0.6","100","60","5","1","0.85","56.4"
"167","10","0","0.2","0.6","100","60","5","1","0.81","57.68"
"166","10","0","0.2","0.6","100","60","5","1","0.79","60.64"
"172","10","0","0.2","0.6","100","60","5","1","0.85","55.42"
"176","10","0","0.2","0.6","100","60","5","1","0.86","53"
"171","10","0","0.2","0.6","100","60","5","1","0.81","58.77"
"170","10","0","0.2","0.6","100","60","5","1","0.82","57.81"
"175","10","0","0.2","0.6","100","60","5","1","0.82","55.95"
"173","10","0","0.2","0.6","100","60","5","1","0.83","58.79"
"174","10","0","0.2","0.6","100","60","5","1","0.77","59.04"
"177","10","0","0.2","0.6","100","60","5","1","0.79","60.87"
"178","10","0","0.2","0.6","100","60","5","1","0.84","57.55"
"179","10","0","0.2","0.6","100","60","5","1","0.89","52.9"
"180","10","0","0.2","0.6","100","60","5","1","0.8","60.71"
"182","10","0.5","0.2","0.2","100","60","5","1","0.3","89.37"
"181","10","0.5","0.2","0.2","100","60","5","1","0.22","94.51"
"185","10","0.5","0.2","0.2","100","60","5","1","0.28","90.81"
"187","10","0.5","0.2","0.2","100","60","5","1","0.28","92.05"
"183","10","0.5","0.2","0.2","100","60","5","1","0.2","93.99"
"184","10","0.5","0.2","0.2","100","60","5","1","0.24","92.4"
"186","10","0.5","0.2","0.2","100","60","5","1","0.25","91.61"
"190","10","0.5","0.2","0.2","100","60","5","1","0.29","91.11"
"193","10","0.5","0.2","0.2","100","60","5","1","0.31","89.45"
"191","10","0.5","0.2","0.2","100","60","5","1","0.25","91.39"
"188","10","0.5","0.2","0.2","100","60","5","1","0.2","93.26"
"189","10","0.5","0.2","0.2","100","60","5","1","0.23","93.02"
"195","10","0.5","0.2","0.2","100","60","5","1","0.19","94.18"
"196","10","0.5","0.2","0.2","100","60","5","1","0.22","90.82"
"192","10","0.5","0.2","0.2","100","60","5","1","0.18","94.48"
"194","10","0.5","0.2","0.2","100","60","5","1","0.2","94.97"
"198","10","0.5","0.2","0.2","100","60","5","1","0.29","89.67"
"197","10","0.5","0.2","0.2","100","60","5","1","0.22","91.97"
