"BehaviorSpace results (NetLogo 6.1.0)"
"wild_dogs.nlogo"
"vary_initialization"
"10/29/2019 00:36:56:900 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","num-initial-packs","mean-meeting-rate","mortality-adult","mortality-disperser","years-to-simulate","carrying-capacity","mean-initial-pack-size","[step]","ticks","extinct?"
"297","2","1","0.2","0.44","100","60","6","24","24","true"
"281","2","1","0.2","0.44","100","60","6","93","93","true"
"288","2","1","0.2","0.44","100","60","6","54","54","true"
"298","2","1","0.2","0.44","100","60","6","25","25","true"
"296","2","1","0.2","0.44","100","60","6","28","28","true"
"302","2","1","0.2","0.44","100","60","8","17","17","true"
"305","2","1","0.2","0.44","100","60","8","14","14","true"
"287","2","1","0.2","0.44","100","60","6","81","81","true"
"308","2","1","0.2","0.44","100","60","8","16","16","true"
"290","2","1","0.2","0.44","100","60","6","60","60","true"
"277","2","1","0.2","0.44","100","60","6","64","64","true"
"306","2","1","0.2","0.44","100","60","8","25","25","true"
"269","2","1","0.2","0.44","100","60","6","100","100","false"
"284","2","1","0.2","0.44","100","60","6","100","100","false"
"285","2","1","0.2","0.44","100","60","6","74","74","true"
"295","2","1","0.2","0.44","100","60","6","100","100","false"
"275","2","1","0.2","0.44","100","60","6","100","100","false"
"300","2","1","0.2","0.44","100","60","6","49","49","true"
"317","2","1","0.2","0.44","100","60","8","4","4","true"
"311","2","1","0.2","0.44","100","60","8","16","16","true"
"313","2","1","0.2","0.44","100","60","8","36","36","true"
"301","2","1","0.2","0.44","100","60","8","36","36","true"
"310","2","1","0.2","0.44","100","60","8","53","53","true"
"304","2","1","0.2","0.44","100","60","8","91","91","true"
"299","2","1","0.2","0.44","100","60","6","74","74","true"
"309","2","1","0.2","0.44","100","60","8","78","78","true"
"283","2","1","0.2","0.44","100","60","6","100","100","false"
"322","2","1","0.2","0.44","100","60","8","27","27","true"
"293","2","1","0.2","0.44","100","60","6","100","100","false"
"316","2","1","0.2","0.44","100","60","8","47","47","true"
"294","2","1","0.2","0.44","100","60","6","100","100","false"
"325","2","1","0.2","0.44","100","60","8","23","23","true"
"312","2","1","0.2","0.44","100","60","8","83","83","true"
"332","2","1","0.2","0.44","100","60","8","17","17","true"
"320","2","1","0.2","0.44","100","60","8","66","66","true"
"326","2","1","0.2","0.44","100","60","8","43","43","true"
"331","2","1","0.2","0.44","100","60","8","26","26","true"
"319","2","1","0.2","0.44","100","60","8","61","61","true"
"286","2","1","0.2","0.44","100","60","6","97","97","true"
"328","2","1","0.2","0.44","100","60","8","37","37","true"
"335","2","1","0.2","0.44","100","60","8","33","33","true"
"338","2","1","0.2","0.44","100","60","8","28","28","true"
"337","2","1","0.2","0.44","100","60","8","38","38","true"
"315","2","1","0.2","0.44","100","60","8","93","93","true"
"303","2","1","0.2","0.44","100","60","8","100","100","false"
"329","2","1","0.2","0.44","100","60","8","66","66","true"
"307","2","1","0.2","0.44","100","60","8","100","100","false"
"292","2","1","0.2","0.44","100","60","6","100","100","false"
"321","2","1","0.2","0.44","100","60","8","98","98","true"
"344","2","1","0.2","0.44","100","60","8","24","24","true"
"345","2","1","0.2","0.44","100","60","8","50","50","true"
"343","2","1","0.2","0.44","100","60","8","100","100","false"
"350","2","1","0.2","0.44","100","60","8","17","17","true"
"314","2","1","0.2","0.44","100","60","8","100","100","false"
"334","2","1","0.2","0.44","100","60","8","93","93","true"
"354","2","1","0.2","0.44","100","60","8","23","23","true"
"327","2","1","0.2","0.44","100","60","8","97","97","true"
"333","2","1","0.2","0.44","100","60","8","97","97","true"
"318","2","1","0.2","0.44","100","60","8","100","100","false"
"324","2","1","0.2","0.44","100","60","8","100","100","false"
"341","2","1","0.2","0.44","100","60","8","49","49","true"
"342","2","1","0.2","0.44","100","60","8","87","87","true"
"323","2","1","0.2","0.44","100","60","8","100","100","false"
"330","2","1","0.2","0.44","100","60","8","100","100","false"
"349","2","1","0.2","0.44","100","60","8","73","73","true"
"353","2","1","0.2","0.44","100","60","8","52","52","true"
"336","2","1","0.2","0.44","100","60","8","100","100","false"
"352","2","1","0.2","0.44","100","60","8","91","91","true"
"340","2","1","0.2","0.44","100","60","8","100","100","false"
"356","2","1","0.2","0.44","100","60","8","56","56","true"
"361","2","1","0.2","0.44","100","60","8","34","34","true"
"339","2","1","0.2","0.44","100","60","8","94","94","true"
"347","2","1","0.2","0.44","100","60","8","100","100","false"
"348","2","1","0.2","0.44","100","60","8","96","96","true"
"346","2","1","0.2","0.44","100","60","8","97","97","true"
"351","2","1","0.2","0.44","100","60","8","95","95","true"
"360","2","1","0.2","0.44","100","60","8","64","64","true"
"373","2","1","0.2","0.44","100","60","8","34","34","true"
"372","2","1","0.2","0.44","100","60","8","32","32","true"
"371","2","1","0.2","0.44","100","60","8","54","54","true"
"368","2","1","0.2","0.44","100","60","8","56","56","true"
"359","2","1","0.2","0.44","100","60","8","100","100","false"
"382","2","1","0.2","0.44","100","60","8","16","16","true"
"377","2","1","0.2","0.44","100","60","8","42","42","true"
"363","2","1","0.2","0.44","100","60","8","75","75","true"
"369","2","1","0.2","0.44","100","60","8","74","74","true"
"374","2","1","0.2","0.44","100","60","8","45","45","true"
"355","2","1","0.2","0.44","100","60","8","100","100","false"
"386","2","1","0.2","0.44","100","60","8","25","25","true"
"388","2","1","0.2","0.44","100","60","8","33","33","true"
"365","2","1","0.2","0.44","100","60","8","89","89","true"
"364","2","1","0.2","0.44","100","60","8","100","100","false"
"390","2","1","0.2","0.44","100","60","8","31","31","true"
"357","2","1","0.2","0.44","100","60","8","100","100","false"
"381","2","1","0.2","0.44","100","60","8","52","52","true"
"358","2","1","0.2","0.44","100","60","8","100","100","false"
"392","2","1","0.2","0.44","100","60","8","28","28","true"
"367","2","1","0.2","0.44","100","60","8","100","100","false"
"383","2","1","0.2","0.44","100","60","8","55","55","true"
"379","2","1","0.2","0.44","100","60","8","97","97","true"
"362","2","1","0.2","0.44","100","60","8","100","100","false"
"399","2","1","0.2","0.44","100","60","8","28","28","true"
"396","2","1","0.2","0.44","100","60","8","24","24","true"
"370","2","1","0.2","0.44","100","60","8","100","100","false"
"391","2","1","0.2","0.44","100","60","8","48","48","true"
"366","2","1","0.2","0.44","100","60","8","100","100","false"
"401","2","1","0.2","0.44","100","60","10","18","18","true"
"376","2","1","0.2","0.44","100","60","8","100","100","false"
"402","2","1","0.2","0.44","100","60","10","26","26","true"
"395","2","1","0.2","0.44","100","60","8","49","49","true"
"409","2","1","0.2","0.44","100","60","10","21","21","true"
"387","2","1","0.2","0.44","100","60","8","100","100","false"
"411","2","1","0.2","0.44","100","60","10","16","16","true"
"397","2","1","0.2","0.44","100","60","8","69","69","true"
"400","2","1","0.2","0.44","100","60","8","54","54","true"
"375","2","1","0.2","0.44","100","60","8","100","100","false"
"378","2","1","0.2","0.44","100","60","8","100","100","false"
"384","2","1","0.2","0.44","100","60","8","100","100","false"
"389","2","1","0.2","0.44","100","60","8","88","88","true"
"380","2","1","0.2","0.44","100","60","8","100","100","false"
"420","2","1","0.2","0.44","100","60","10","10","10","true"
"405","2","1","0.2","0.44","100","60","10","38","38","true"
"408","2","1","0.2","0.44","100","60","10","49","49","true"
"413","2","1","0.2","0.44","100","60","10","30","30","true"
"404","2","1","0.2","0.44","100","60","10","65","65","true"
"415","2","1","0.2","0.44","100","60","10","39","39","true"
"385","2","1","0.2","0.44","100","60","8","100","100","false"
"403","2","1","0.2","0.44","100","60","10","85","85","true"
"393","2","1","0.2","0.44","100","60","8","100","100","false"
"425","2","1","0.2","0.44","100","60","10","49","49","true"
"417","2","1","0.2","0.44","100","60","10","65","65","true"
"419","2","1","0.2","0.44","100","60","10","100","100","false"
"394","2","1","0.2","0.44","100","60","8","100","100","false"
"398","2","1","0.2","0.44","100","60","8","100","100","false"
"416","2","1","0.2","0.44","100","60","10","84","84","true"
"412","2","1","0.2","0.44","100","60","10","100","100","false"
"424","2","1","0.2","0.44","100","60","10","98","98","true"
"410","2","1","0.2","0.44","100","60","10","100","100","false"
"421","2","1","0.2","0.44","100","60","10","53","53","true"
"406","2","1","0.2","0.44","100","60","10","97","97","true"
"427","2","1","0.2","0.44","100","60","10","73","73","true"
"433","2","1","0.2","0.44","100","60","10","31","31","true"
"434","2","1","0.2","0.44","100","60","10","44","44","true"
"422","2","1","0.2","0.44","100","60","10","91","91","true"
"442","2","1","0.2","0.44","100","60","10","27","27","true"
"414","2","1","0.2","0.44","100","60","10","100","100","false"
"443","2","1","0.2","0.44","100","60","10","36","36","true"
"423","2","1","0.2","0.44","100","60","10","100","100","false"
"445","2","1","0.2","0.44","100","60","10","17","17","true"
"432","2","1","0.2","0.44","100","60","10","74","74","true"
"418","2","1","0.2","0.44","100","60","10","100","100","false"
"407","2","1","0.2","0.44","100","60","10","100","100","false"
"440","2","1","0.2","0.44","100","60","10","61","61","true"
"431","2","1","0.2","0.44","100","60","10","100","100","false"
"444","2","1","0.2","0.44","100","60","10","59","59","true"
"429","2","1","0.2","0.44","100","60","10","93","93","true"
"435","2","1","0.2","0.44","100","60","10","88","88","true"
"428","2","1","0.2","0.44","100","60","10","100","100","false"
"437","2","1","0.2","0.44","100","60","10","77","77","true"
"430","2","1","0.2","0.44","100","60","10","100","100","false"
"439","2","1","0.2","0.44","100","60","10","84","84","true"
"426","2","1","0.2","0.44","100","60","10","100","100","false"
"461","2","1","0.2","0.44","100","60","10","22","22","true"
"436","2","1","0.2","0.44","100","60","10","100","100","false"
"446","2","1","0.2","0.44","100","60","10","72","72","true"
"441","2","1","0.2","0.44","100","60","10","92","92","true"
"458","2","1","0.2","0.44","100","60","10","72","72","true"
"447","2","1","0.2","0.44","100","60","10","75","75","true"
"456","2","1","0.2","0.44","100","60","10","62","62","true"
"455","2","1","0.2","0.44","100","60","10","100","100","false"
"448","2","1","0.2","0.44","100","60","10","100","100","false"
"438","2","1","0.2","0.44","100","60","10","100","100","false"
"449","2","1","0.2","0.44","100","60","10","70","70","true"
"464","2","1","0.2","0.44","100","60","10","40","40","true"
"450","2","1","0.2","0.44","100","60","10","77","77","true"
"466","2","1","0.2","0.44","100","60","10","53","53","true"
"452","2","1","0.2","0.44","100","60","10","81","81","true"
"451","2","1","0.2","0.44","100","60","10","100","100","false"
"457","2","1","0.2","0.44","100","60","10","63","63","true"
"468","2","1","0.2","0.44","100","60","10","51","51","true"
"475","2","1","0.2","0.44","100","60","10","52","52","true"
"459","2","1","0.2","0.44","100","60","10","100","100","false"
"460","2","1","0.2","0.44","100","60","10","100","100","false"
"453","2","1","0.2","0.44","100","60","10","100","100","false"
"462","2","1","0.2","0.44","100","60","10","59","59","true"
"469","2","1","0.2","0.44","100","60","10","97","97","true"
"477","2","1","0.2","0.44","100","60","10","42","42","true"
"465","2","1","0.2","0.44","100","60","10","88","88","true"
"473","2","1","0.2","0.44","100","60","10","89","89","true"
"476","2","1","0.2","0.44","100","60","10","93","93","true"
"472","2","1","0.2","0.44","100","60","10","80","80","true"
"485","2","1","0.2","0.44","100","60","10","34","34","true"
"492","2","1","0.2","0.44","100","60","10","7","7","true"
"471","2","1","0.2","0.44","100","60","10","100","100","false"
"480","2","1","0.2","0.44","100","60","10","35","35","true"
"454","2","1","0.2","0.44","100","60","10","100","100","false"
"470","2","1","0.2","0.44","100","60","10","82","82","true"
"467","2","1","0.2","0.44","100","60","10","100","100","false"
"494","2","1","0.2","0.44","100","60","10","34","34","true"
