"BehaviorSpace results (NetLogo 6.2.0)"
"wild_dogs.nlogo"
"vary_meeting_disp_mortality"
"11/01/2021 22:21:42:264 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","num-initial-packs","mean-meeting-rate","mortality-adult","mortality-disperser","years-to-simulate","carrying-capacity","mean-initial-pack-size","[step]","ticks","extinct?"
"114","10","0","0.2","0.25","100","60","5","100","100","false"
"164","10","0","0.2","0.25","100","60","5","15","15","true"
"153","10","0","0.2","0.25","100","60","5","34","34","true"
"157","10","0","0.2","0.25","100","60","5","29","29","true"
"169","10","0","0.2","0.25","100","60","5","33","33","true"
"163","10","0","0.2","0.25","100","60","5","43","43","true"
"168","10","0","0.2","0.25","100","60","5","53","53","true"
"136","10","0","0.2","0.25","100","60","5","67","67","true"
"167","10","0","0.2","0.25","100","60","5","33","33","true"
"142","10","0","0.2","0.25","100","60","5","79","79","true"
"158","10","0","0.2","0.25","100","60","5","53","53","true"
"173","10","0","0.2","0.25","100","60","5","15","15","true"
"160","10","0","0.2","0.25","100","60","5","64","64","true"
"149","10","0","0.2","0.25","100","60","5","99","99","true"
"159","10","0","0.2","0.25","100","60","5","54","54","true"
"143","10","0","0.2","0.25","100","60","5","100","100","false"
"174","10","0","0.2","0.25","100","60","5","25","25","true"
"146","10","0","0.2","0.25","100","60","5","78","78","true"
"165","10","0","0.2","0.25","100","60","5","67","67","true"
"177","10","0","0.2","0.25","100","60","5","32","32","true"
"141","10","0","0.2","0.25","100","60","5","100","100","false"
"178","10","0","0.2","0.25","100","60","5","28","28","true"
"166","10","0","0.2","0.25","100","60","5","52","52","true"
"180","10","0","0.2","0.25","100","60","5","44","44","true"
"176","10","0","0.2","0.25","100","60","5","35","35","true"
"184","10","0","0.2","0.25","100","60","5","30","30","true"
"175","10","0","0.2","0.25","100","60","5","63","63","true"
"179","10","0","0.2","0.25","100","60","5","39","39","true"
"161","10","0","0.2","0.25","100","60","5","82","82","true"
"181","10","0","0.2","0.25","100","60","5","36","36","true"
"182","10","0","0.2","0.25","100","60","5","34","34","true"
"162","10","0","0.2","0.25","100","60","5","100","100","false"
"188","10","0","0.2","0.25","100","60","5","35","35","true"
