"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"business-investor.nlogo"
"vary profit"
"09/28/2025 22:18:16:098 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-9","9","-9","9"
"[run number]","number-of-links","profit-multiplier","risk-multiplier","vision-mode","objective","number-investors","max-ticks","[step]","mean [wealth] of turtles","standard-deviation [wealth] of turtles","mean [profit] of patches with [any? turtles-here]","mean [annual-risk] of patches with [any? turtles-here]"
"15","0","0.5","1","neighbors","Optimize","25","50","10","53108.45115475634","30404.55752472002","6506.968715394355","0.03960958563719747"
"12","0","0.5","1","neighbors","Optimize","25","50","10","56071.11027821488","28876.007201604847","5945.462868979587","0.036068928269118644"
"8","0","0.5","1","neighbors","Optimize","25","50","17","90474.88530034617","58670.27212285889","5859.351052271945","0.03170549589987346"
"3","0","0.5","1","neighbors","Optimize","25","50","10","58350.97776986042","27455.205120727136","6080.896110699109","0.037200547608723405"
"2","0","0.5","1","neighbors","Optimize","25","50","4","29249.462330906405","16481.92082063948","7518.361521546811","0.046729655347034826"
"15","0","0.5","1","neighbors","Optimize","25","50","11","59688.26651213123","31598.640160487303","6579.815357374882","0.03923728511717808"
"11","0","0.5","1","neighbors","Optimize","25","50","4","26164.048961984754","17429.855014478693","7670.557570365837","0.04376501145429413"
"9","0","0.5","1","neighbors","Optimize","25","50","9","43195.433316081835","21581.505791398275","5398.833975789518","0.033512152720535024"
"8","0","0.5","1","neighbors","Optimize","25","50","18","95103.54480404494","61940.40475036329","6021.040174084648","0.03248176867015548"
"5","0","0.5","1","neighbors","Optimize","25","50","7","40723.27187163319","29793.796654937323","7409.307379686383","0.05120984288233785"
"12","0","0.5","1","neighbors","Optimize","25","50","11","57931.426922077946","32239.42382343328","5926.36305845901","0.0357743977387234"
"3","0","0.5","1","neighbors","Optimize","25","50","11","64235.559313975864","29906.60082685368","6153.499408031956","0.03765511033440014"
"14","0","0.5","1","neighbors","Optimize","25","50","6","32757.89239711995","17617.00826601966","6331.226158044359","0.04326454133238786"
"10","0","0.5","1","neighbors","Optimize","25","50","6","36016.16055812328","19666.6246732945","6482.394431553636","0.04238090967759447"
"9","0","0.5","1","neighbors","Optimize","25","50","10","48594.26729187134","22946.994000800976","5398.833975789516","0.03351215272053503"
"15","0","0.5","1","neighbors","Optimize","25","50","12","65935.96535879362","32791.864157373246","6247.698846662409","0.03629371125141117"
"7","0","0.5","1","neighbors","Optimize","25","50","6","31214.177338985115","16840.359850333843","6094.29990278329","0.04534801305610225"
"3","0","0.5","1","neighbors","Optimize","25","50","12","70120.1408580913","32418.221972529056","6153.499408031955","0.03765511033440013"
"13","0","0.5","1","neighbors","Optimize","25","50","6","37006.56285998791","22532.005819034435","7617.6622032478745","0.0475560238613765"
"8","0","0.5","1","neighbors","Optimize","25","50","19","99986.71298026879","64528.52724213715","5826.471151637887","0.03189831714817339"
"1","0","0.5","1","neighbors","Optimize","25","50","4","25976.419850781975","11829.790069077057","7403.328797008859","0.03790843837749815"
"12","0","0.5","1","neighbors","Optimize","25","50","12","63892.5496671551","33962.11362284565","5961.122745077156","0.036055177831477686"
"15","0","0.5","1","neighbors","Optimize","25","50","13","66985.98922788115","36816.018004820406","5904.845240206608","0.034323941548733916"
"9","0","0.5","1","neighbors","Optimize","25","50","11","53660.62148956438","24299.512207701668","5066.354197693016","0.02924672084670735"
"6","0","0.5","1","neighbors","Optimize","25","50","4","20963.161690979567","10147.74958006466","6614.057617587606","0.04313462196886003"
"4","0","0.5","1","neighbors","Optimize","25","50","4","21282.50351537651","16014.81807065196","6512.575722271332","0.0443375829784624"
