"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"business-investor.nlogo"
"vary risk"
"09/28/2025 22:18:05:532 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-9","9","-9","9"
"[run number]","number-of-links","profit-multiplier","risk-multiplier","vision-mode","objective","number-investors","max-ticks","[step]","mean [wealth] of turtles","standard-deviation [wealth] of turtles","mean [profit] of patches with [any? turtles-here]","mean [annual-risk] of patches with [any? turtles-here]"
"4","0","1","1","neighbors","Optimize","25","50","14","122075.64284549277","69715.94780642717","10836.847419579994","0.0296683074927258"
"4","0","1","1","neighbors","Optimize","25","50","15","124939.07886178225","78366.47140994688","10836.847419579994","0.0296683074927258"
"3","0","1","1","neighbors","Optimize","25","50","3","39915.520279287426","12152.807613795265","13950.879265082245","0.04528927773723414"
"6","0","1","1","neighbors","Optimize","25","50","5","51486.46163806998","25336.10761209384","11635.78849326682","0.038506931120484235"
"4","0","1","1","neighbors","Optimize","25","50","16","127625.23648919005","87891.98895113709","10944.024838341358","0.030357107368131707"
"7","0","1","1","neighbors","Optimize","25","50","6","58798.14619222494","34432.44233899616","12573.522832922357","0.04307683777261349"
"14","0","1","1","neighbors","Optimize","25","50","3","37106.28987780917","18608.65860898022","13966.58801074845","0.04658747422843306"
"12","0","1","1","neighbors","Optimize","25","50","6","66189.41732000704","36031.27998944741","13414.95619131805","0.05261906667559005"
"15","0","1","1","neighbors","Optimize","25","50","3","39269.44036675547","18787.01456118095","15333.372257697789","0.04510820689546687"
"4","0","1","1","neighbors","Optimize","25","50","17","137681.74270115758","89982.5355161725","10944.02483834136","0.030357107368131714"
"13","0","1","1","neighbors","Optimize","25","50","3","34834.23525147142","21733.336487569424","13224.484108378487","0.053332064519144226"
"4","0","1","1","neighbors","Optimize","25","50","18","148625.767539499","91018.44739068324","10944.02483834136","0.030357107368131707"
"8","0","1","1","neighbors","Optimize","25","50","3","41825.66608489929","20550.122068683915","14618.83323952204","0.03892762783090259"
"11","0","1","1","neighbors","Optimize","25","50","4","54901.025180217046","27610.814228020623","15377.418140183605","0.05266830880778847"
"4","0","1","1","neighbors","Optimize","25","50","19","159392.18493980967","92251.86734119225","10766.417400310684","0.02957997134938529"
"1","0","1","1","neighbors","Optimize","25","50","3","38376.334408730196","17950.72420102004","14563.7255217573","0.046399024305035494"
"2","0","1","1","neighbors","Optimize","25","50","3","30026.03748670821","11311.161241942524","11258.543580149808","0.044984557481122886"
"10","0","1","1","neighbors","Optimize","25","50","5","50196.671938300264","29105.430739292286","13844.964235757185","0.052457814356964144"
"5","0","1","1","neighbors","Optimize","25","50","5","61431.527149412424","36504.736363027965","14331.307439573093","0.04983129935391994"
"4","0","1","1","neighbors","Optimize","25","50","20","170158.6023401204","93751.52530701322","10766.417400310684","0.02957997134938529"
"9","0","1","1","neighbors","Optimize","25","50","6","74025.15678791245","35441.86233948949","13285.620142950263","0.035543736343259164"
"7","0","1","1","neighbors","Optimize","25","50","7","71356.18926212148","37516.85997429798","12558.043069896563","0.04292811569406319"
"6","0","1","1","neighbors","Optimize","25","50","6","61430.27156281349","32003.428574729194","12019.097453547198","0.038764899707804015"
"4","0","1","1","neighbors","Optimize","25","50","21","180884.19997080392","95503.09312716071","10725.597630683591","0.029396830570176866"
"7","0","1","1","neighbors","Optimize","25","50","8","82939.29977907694","39852.54160522996","11583.110516955438","0.03754848347855844"
"4","0","1","1","neighbors","Optimize","25","50","22","191609.7976014876","97496.8613525318","10725.597630683593","0.02939683057017687"
"3","0","1","1","neighbors","Optimize","25","50","4","53498.66694504964","16432.108097169177","13583.146665762219","0.04193729830773615"
"7","0","1","1","neighbors","Optimize","25","50","9","92312.08781960515","46154.25462686745","11583.110516955441","0.03754848347855846"
"12","0","1","1","neighbors","Optimize","25","50","7","70086.18762155857","42996.60423764572","13414.95619131805","0.05261906667559004"
"4","0","1","1","neighbors","Optimize","25","50","23","202335.39523217117","99718.30337310486","10725.597630683593","0.029396830570176877"
"7","0","1","1","neighbors","Optimize","25","50","10","103781.22302502289","49391.69720486535","11469.135205417699","0.03647751289257286"
"14","0","1","1","neighbors","Optimize","25","50","4","46360.62680704356","27479.33192373468","14519.718831277129","0.047239021897377664"
"4","0","1","1","neighbors","Optimize","25","50","24","212996.04566289647","102227.61818378298","10660.650430725298","0.028962867626632666"
"15","0","1","1","neighbors","Optimize","25","50","4","53699.00173673314","24873.89603873436","15333.372257697793","0.04510820689546688"
"7","0","1","1","neighbors","Optimize","25","50","11","99962.12712723383","62905.60691857422","11469.135205417699","0.03647751289257286"
"4","0","1","1","neighbors","Optimize","25","50","25","215879.18999891795","113999.69971101703","10660.650430725298","0.028962867626632673"
"13","0","1","1","neighbors","Optimize","25","50","4","46346.59683135577","28796.22226547725","13099.646458724723","0.051402522917465096"
"8","0","1","1","neighbors","Optimize","25","50","4","53613.267367263325","28425.55643591259","14618.83323952204","0.03892762783090259"
"4","0","1","1","neighbors","Optimize","25","50","26","222546.0066109611","122627.36090488364","10660.650430725298","0.028962867626632676"
"1","0","1","1","neighbors","Optimize","25","50","4","50035.2490990999","27598.284300242467","14563.725521757293","0.04639902430503549"
"5","0","1","1","neighbors","Optimize","25","50","6","75762.8345889855","41717.996287103764","14331.307439573098","0.04983129935391995"
"7","0","1","1","neighbors","Optimize","25","50","12","105131.60747271738","67436.00935953694","12444.067758358822","0.041857145108077594"
"10","0","1","1","neighbors","Optimize","25","50","6","58724.17027202934","35909.323382725706","13844.964235757185","0.052457814356964144"
"11","0","1","1","neighbors","Optimize","25","50","5","69998.57060764641","32065.546817232185","15097.545427429373","0.05042673170281933"
"9","0","1","1","neighbors","Optimize","25","50","7","85229.01810317366","44386.08343261689","13285.620142950267","0.035543736343259164"
"2","0","1","1","neighbors","Optimize","25","50","4","39347.4340739415","16109.083197127738","11258.543580149808","0.04498455748112287"
"4","0","1","1","neighbors","Optimize","25","50","27","223332.1663483035","133537.32127002874","10660.650430725296","0.028962867626632666"
"7","0","1","1","neighbors","Optimize","25","50","13","99954.22798923377","66918.80821655346","12376.646103404564","0.04109196540066419"
"6","0","1","1","neighbors","Optimize","25","50","7","73449.36901636071","35881.58087138602","12019.0974535472","0.03876489970780403"
"4","0","1","1","neighbors","Optimize","25","50","28","233867.6665399019","136085.8599024645","10535.500191598358","0.0291200191138477"
"7","0","1","1","neighbors","Optimize","25","50","14","105088.6234818454","70230.77478966313","12376.646103404564","0.0410919654006642"
"3","0","1","1","neighbors","Optimize","25","50","5","62593.89756947497","27542.6330512529","13398.674052964383","0.04032202045323719"
"4","0","1","1","neighbors","Optimize","25","50","29","234490.87289275878","147110.37107885053","10564.057378218075","0.028275597914871"
"12","0","1","1","neighbors","Optimize","25","50","8","80936.30578024636","46737.4469152216","12426.315604383797","0.044890009118285584"
"7","0","1","1","neighbors","Optimize","25","50","15","112627.4082895895","75349.89491035996","11964.952582620259","0.03908205247666981"
"4","0","1","1","neighbors","Optimize","25","50","30","243376.61038924183","152577.17003962476","10660.774749230692","0.027907966162163147"
