"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"business-investor.nlogo"
"Number-of-Links"
"09/28/2025 22:48:19:783 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-9","9","-9","9"
"[run number]","number-of-links","profit-multiplier","risk-multiplier","vision-mode","objective","[step]","mean [wealth] of turtles","standard-deviation [wealth] of turtles"
"11","10","1","1","links","Optimize","16","177293.7834503342","90111.48877944502"
"13","1","1","1","links","Optimize","7","95277.388326215","51407.123766644596"
"9","8","1","1","links","Optimize","19","192730.11315420803","103685.32961915867"
"5","4","1","1","links","Optimize","5","65144.107249905166","33815.15963234525"
"11","10","1","1","links","Optimize","17","189396.0419203401","91216.6294202158"
"9","8","1","1","links","Optimize","20","190417.01216539743","116976.42819193756"
"11","10","1","1","links","Optimize","18","178197.3373060061","112136.25894243343"
"15","3","1","1","links","Optimize","6","68387.54412290272","46031.628588764106"
"12","0","1","1","links","Optimize","9","76378.51233572165","43227.602279888524"
"9","8","1","1","links","Optimize","21","203396.17724828972","119063.61837365596"
"13","1","1","1","links","Optimize","8","112048.67072923847","53862.10866600123"
"8","7","1","1","links","Optimize","5","64597.316711197636","36461.19191019092"
"1","0","1","1","links","Optimize","8","88767.78884819738","47059.51483258488"
"10","9","1","1","links","Optimize","4","49362.98811418409","18702.1518627505"
"11","10","1","1","links","Optimize","19","191076.50158376596","111457.19402321422"
"2","1","1","1","links","Optimize","7","84369.33952577967","43422.17040136451"
"3","2","1","1","links","Optimize","7","87264.30159207691","49623.48071019537"
"9","8","1","1","links","Optimize","22","216863.82698320606","119706.95531605458"
"14","2","1","1","links","Optimize","7","80021.50540735832","48982.4682782852"
"11","10","1","1","links","Optimize","20","203153.29138779946","110481.34861323076"
"6","5","1","1","links","Optimize","5","71795.3335134466","27746.04273111752"
"4","3","1","1","links","Optimize","6","74013.27742878157","39143.26144128236"
"13","1","1","1","links","Optimize","9","128819.95313226199","57193.936589539546"
"9","8","1","1","links","Optimize","23","227049.84397962832","125376.55912037828"
"7","6","1","1","links","Optimize","5","74887.64568006639","38709.24187546992"
"11","10","1","1","links","Optimize","21","205871.29446686222","117883.2430393115"
"1","0","1","1","links","Optimize","9","101684.70495020632","52609.982866241255"
"9","8","1","1","links","Optimize","24","240323.70380644416","124527.54023312507"
"12","0","1","1","links","Optimize","10","79127.08135322573","51075.168637131144"
"5","4","1","1","links","Optimize","6","77005.18696064015","42426.201937317914"
"11","10","1","1","links","Optimize","22","211662.32920489408","124581.10422375757"
"15","3","1","1","links","Optimize","7","73208.75753148942","53375.93407568844"
"9","8","1","1","links","Optimize","25","250423.98342316377","128544.27987213126"
"14","2","1","1","links","Optimize","8","84449.30772725225","49034.42389660958"
"2","1","1","1","links","Optimize","8","86043.96938759","50819.36695473034"
"11","10","1","1","links","Optimize","23","224049.44794411637","123960.47224506547"
"9","8","1","1","links","Optimize","26","263214.135518558","126731.21096098992"
"6","5","1","1","links","Optimize","6","78659.28690164344","42278.1947562777"
"11","10","1","1","links","Optimize","24","226367.31879178324","132177.42491154696"
"13","1","1","1","links","Optimize","10","145591.23553528544","61259.70349209629"
"3","2","1","1","links","Optimize","8","98925.23440280277","57397.68911862419"
"8","7","1","1","links","Optimize","6","79585.02579395834","41470.232303061086"
"1","0","1","1","links","Optimize","10","108690.48692351475","62238.47211356387"
"9","8","1","1","links","Optimize","27","272364.111796116","131983.006146587"
"11","10","1","1","links","Optimize","25","213892.99083511875","145109.03951872422"
"12","0","1","1","links","Optimize","11","89670.0161850914","53926.84507318707"
"10","9","1","1","links","Optimize","5","61379.3586398229","24400.810208943993"
"4","3","1","1","links","Optimize","7","80464.7558739761","41466.89737156622"
"5","4","1","1","links","Optimize","7","90987.99839216782","48127.47114101886"
"8","7","1","1","links","Optimize","7","94323.46959084798","46908.521429673005"
"9","8","1","1","links","Optimize","28","279465.98781853577","138537.3244654462"
"14","2","1","1","links","Optimize","9","96005.23776320115","51726.03785257964"
"7","6","1","1","links","Optimize","6","85167.39814265394","52334.22084610048"
"11","10","1","1","links","Optimize","26","225967.51259185947","142144.9972828555"
"8","7","1","1","links","Optimize","8","106309.83516895624","56459.53098208363"
"9","8","1","1","links","Optimize","29","291125.92260652577","137101.42920550532"
"2","1","1","1","links","Optimize","9","98643.05406916759","55044.06367183085"
"15","3","1","1","links","Optimize","8","86887.31550998712","57133.67197184472"
"11","10","1","1","links","Optimize","27","233048.95122970134","145619.52758393422"
"8","7","1","1","links","Optimize","9","116240.93667974032","66716.00590165867"
