"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"PD_reciprocity.nlogo"
"experiment"
"10/07/2024 01:18:11:708 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-15","15","-15","15"
"[run number]","payoff-benefit","num-iterations","init-coop-freq","payoff-cost","TFT?","randomization-prob","[step]","coop-freq"
"191","1","1","0.2","0.5","true","1","2","0"
"193","1","1","0.2","0.5","true","1","2","0"
"216","1","1","0.2","0.6","true","0","1","0"
"194","1","1","0.2","0.5","true","1","2","0"
"218","1","1","0.2","0.6","true","0","2","0"
"195","1","1","0.2","0.5","true","1","2","0"
"219","1","1","0.2","0.6","true","0","2","0"
"220","1","1","0.2","0.6","true","0","2","0"
"196","1","1","0.2","0.5","true","1","2","0"
"197","1","1","0.2","0.5","true","1","2","0"
"200","1","1","0.2","0.5","true","1","2","0"
"198","1","1","0.2","0.5","true","1","2","0"
"199","1","1","0.2","0.5","true","1","2","0"
"221","1","1","0.2","0.6","true","1","1","0"
"222","1","1","0.2","0.6","true","1","1","0"
"225","1","1","0.2","0.6","true","1","1","0"
"226","1","1","0.2","0.6","true","1","1","0"
"223","1","1","0.2","0.6","true","1","1","0"
"228","1","1","0.2","0.6","true","1","1","0"
"227","1","1","0.2","0.6","true","1","1","0"
"230","1","1","0.2","0.6","true","1","1","0"
"241","1","1","0.2","0.7","true","0","1","0"
"242","1","1","0.2","0.7","true","0","1","0"
"243","1","1","0.2","0.7","true","0","2","0"
"244","1","1","0.2","0.7","true","0","2","0"
"245","1","1","0.2","0.7","true","0","2","0"
"246","1","1","0.2","0.7","true","0","1","0"
"247","1","1","0.2","0.7","true","0","1","0"
"248","1","1","0.2","0.7","true","0","1","0"
"231","1","1","0.2","0.6","true","1","1","0"
"250","1","1","0.2","0.7","true","0","1","0"
"249","1","1","0.2","0.7","true","0","1","0"
"234","1","1","0.2","0.6","true","1","1","0"
"251","1","1","0.2","0.7","true","0","2","0"
"252","1","1","0.2","0.7","true","0","1","0"
"224","1","1","0.2","0.6","true","1","2","0"
"253","1","1","0.2","0.7","true","0","1","0"
"256","1","1","0.2","0.7","true","0","1","0"
"237","1","1","0.2","0.6","true","1","1","0"
"236","1","1","0.2","0.6","true","1","1","0"
"254","1","1","0.2","0.7","true","0","2","0"
"255","1","1","0.2","0.7","true","0","1","0"
"258","1","1","0.2","0.7","true","0","1","0"
"239","1","1","0.2","0.6","true","1","1","0"
"240","1","1","0.2","0.6","true","1","1","0"
"257","1","1","0.2","0.7","true","0","1","0"
"229","1","1","0.2","0.6","true","1","2","0"
"238","1","1","0.2","0.6","true","1","1","0"
"260","1","1","0.2","0.7","true","0","2","0"
"259","1","1","0.2","0.7","true","0","2","0"
"233","1","1","0.2","0.6","true","1","2","0"
"232","1","1","0.2","0.6","true","1","2","0"
"235","1","1","0.2","0.6","true","1","2","0"
"261","1","1","0.2","0.7","true","1","1","0"
"262","1","1","0.2","0.7","true","1","1","0"
"268","1","1","0.2","0.7","true","1","1","0"
"264","1","1","0.2","0.7","true","1","1","0"
"269","1","1","0.2","0.7","true","1","1","0"
"267","1","1","0.2","0.7","true","1","1","0"
"271","1","1","0.2","0.7","true","1","1","0"
"272","1","1","0.2","0.7","true","1","1","0"
"270","1","1","0.2","0.7","true","1","1","0"
"281","1","1","0.2","0.8","true","0","1","0"
"283","1","1","0.2","0.8","true","0","1","0"
"282","1","1","0.2","0.8","true","0","2","0"
"285","1","1","0.2","0.8","true","0","1","0"
"284","1","1","0.2","0.8","true","0","1","0"
"287","1","1","0.2","0.8","true","0","1","0"
"286","1","1","0.2","0.8","true","0","2","0"
"288","1","1","0.2","0.8","true","0","2","0"
"289","1","1","0.2","0.8","true","0","1","0"
"290","1","1","0.2","0.8","true","0","2","0"
"291","1","1","0.2","0.8","true","0","1","0"
"292","1","1","0.2","0.8","true","0","2","0"
"273","1","1","0.2","0.7","true","1","1","0"
"266","1","1","0.2","0.7","true","1","2","0"
"274","1","1","0.2","0.7","true","1","1","0"
"275","1","1","0.2","0.7","true","1","1","0"
"263","1","1","0.2","0.7","true","1","2","0"
"293","1","1","0.2","0.8","true","0","1","0"
"294","1","1","0.2","0.8","true","0","1","0"
"296","1","1","0.2","0.8","true","0","1","0"
"297","1","1","0.2","0.8","true","0","1","0"
"298","1","1","0.2","0.8","true","0","1","0"
"295","1","1","0.2","0.8","true","0","2","0"
"265","1","1","0.2","0.7","true","1","2","0"
"300","1","1","0.2","0.8","true","0","1","0"
"299","1","1","0.2","0.8","true","0","1","0"
"276","1","1","0.2","0.7","true","1","1","0"
"277","1","1","0.2","0.7","true","1","1","0"
"280","1","1","0.2","0.7","true","1","1","0"
"305","1","1","0.2","0.8","true","1","1","0"
"302","1","1","0.2","0.8","true","1","1","0"
"303","1","1","0.2","0.8","true","1","1","0"
"306","1","1","0.2","0.8","true","1","1","0"
"307","1","1","0.2","0.8","true","1","1","0"
"304","1","1","0.2","0.8","true","1","1","0"
"309","1","1","0.2","0.8","true","1","1","0"
"310","1","1","0.2","0.8","true","1","1","0"
"308","1","1","0.2","0.8","true","1","1","0"
"312","1","1","0.2","0.8","true","1","1","0"
"279","1","1","0.2","0.7","true","1","2","0"
"311","1","1","0.2","0.8","true","1","1","0"
"278","1","1","0.2","0.7","true","1","2","0"
"321","1","1","0.2","0.9","true","0","1","0"
"313","1","1","0.2","0.8","true","1","1","0"
"322","1","1","0.2","0.9","true","0","1","0"
"323","1","1","0.2","0.9","true","0","1","0"
"325","1","1","0.2","0.9","true","0","1","0"
"324","1","1","0.2","0.9","true","0","1","0"
"326","1","1","0.2","0.9","true","0","1","0"
"328","1","1","0.2","0.9","true","0","1","0"
"327","1","1","0.2","0.9","true","0","1","0"
"331","1","1","0.2","0.9","true","0","1","0"
"332","1","1","0.2","0.9","true","0","1","0"
"329","1","1","0.2","0.9","true","0","2","0"
"330","1","1","0.2","0.9","true","0","1","0"
"333","1","1","0.2","0.9","true","0","1","0"
"335","1","1","0.2","0.9","true","0","1","0"
"336","1","1","0.2","0.9","true","0","1","0"
"337","1","1","0.2","0.9","true","0","1","0"
"339","1","1","0.2","0.9","true","0","1","0"
"334","1","1","0.2","0.9","true","0","2","0"
"340","1","1","0.2","0.9","true","0","1","0"
"338","1","1","0.2","0.9","true","0","2","0"
"301","1","1","0.2","0.8","true","1","2","0"
"314","1","1","0.2","0.8","true","1","1","0"
"317","1","1","0.2","0.8","true","1","1","0"
"318","1","1","0.2","0.8","true","1","1","0"
"315","1","1","0.2","0.8","true","1","1","0"
"319","1","1","0.2","0.8","true","1","1","0"
"316","1","1","0.2","0.8","true","1","1","0"
"320","1","1","0.2","0.8","true","1","1","0"
"345","1","1","0.2","0.9","true","1","1","0"
"346","1","1","0.2","0.9","true","1","1","0"
"342","1","1","0.2","0.9","true","1","1","0"
"347","1","1","0.2","0.9","true","1","1","0"
"341","1","1","0.2","0.9","true","1","1","0"
"350","1","1","0.2","0.9","true","1","1","0"
"351","1","1","0.2","0.9","true","1","1","0"
"353","1","1","0.2","0.9","true","1","1","0"
"352","1","1","0.2","0.9","true","1","1","0"
"361","1","2","0.2","0.1","true","0","5","1"
"363","1","2","0.2","0.1","true","0","5","1"
"362","1","2","0.2","0.1","true","0","6","1"
"364","1","2","0.2","0.1","true","0","6","1"
"356","1","1","0.2","0.9","true","1","1","0"
"343","1","1","0.2","0.9","true","1","2","0"
"344","1","1","0.2","0.9","true","1","2","0"
"357","1","1","0.2","0.9","true","1","1","0"
"359","1","1","0.2","0.9","true","1","1","0"
"358","1","1","0.2","0.9","true","1","1","0"
"360","1","1","0.2","0.9","true","1","1","0"
"367","1","2","0.2","0.1","true","0","5","1"
"365","1","2","0.2","0.1","true","0","6","1"
"368","1","2","0.2","0.1","true","0","5","1"
"366","1","2","0.2","0.1","true","0","5","1"
"348","1","1","0.2","0.9","true","1","2","0"
"370","1","2","0.2","0.1","true","0","5","1"
"349","1","1","0.2","0.9","true","1","2","0"
"369","1","2","0.2","0.1","true","0","6","1"
"372","1","2","0.2","0.1","true","0","5","1"
"371","1","2","0.2","0.1","true","0","6","1"
"355","1","1","0.2","0.9","true","1","2","0"
"374","1","2","0.2","0.1","true","0","5","1"
"373","1","2","0.2","0.1","true","0","6","1"
"375","1","2","0.2","0.1","true","0","5","1"
"379","1","2","0.2","0.1","true","0","5","1"
"378","1","2","0.2","0.1","true","0","5","1"
"354","1","1","0.2","0.9","true","1","2","0"
"376","1","2","0.2","0.1","true","0","6","1"
"377","1","2","0.2","0.1","true","0","6","1"
"380","1","2","0.2","0.1","true","0","5","1"
"382","1","2","0.2","0.1","true","1","5","1"
"385","1","2","0.2","0.1","true","1","5","1"
"386","1","2","0.2","0.1","true","1","5","1"
"384","1","2","0.2","0.1","true","1","5","1"
"395","1","2","0.2","0.1","true","1","5","1"
"381","1","2","0.2","0.1","true","1","6","1"
"389","1","2","0.2","0.1","true","1","6","1"
"383","1","2","0.2","0.1","true","1","6","1"
"387","1","2","0.2","0.1","true","1","6","1"
