"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"PD_simple.nlogo"
"experiment"
"10/07/2024 00:31:12:079 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-15","15","-15","15"
"[run number]","payoff-benefit","init-coop-freq","payoff-cost","[step]","(count turtles with [strategy = 1]) / (count turtles)"
"2","1","0.5","0.01","17","0.7325702393340271"
"13","1","0.5","0.01","15","0.7294484911550468"
"5","1","0.5","0.01","16","0.7481789802289281"
"7","1","0.5","0.01","11","0.7252861602497399"
"1","1","0.5","0.01","15","0.7648283038501561"
"14","1","0.5","0.01","13","0.7304890738813735"
"9","1","0.5","0.01","16","0.7544224765868887"
"4","1","0.5","0.01","18","0.7658688865764828"
"8","1","0.5","0.01","13","0.7502601456815817"
"10","1","0.5","0.01","18","0.7762747138397502"
"15","1","0.5","0.01","14","0.7117585848074922"
"12","1","0.5","0.01","16","0.7377731529656608"
"6","1","0.5","0.01","13","0.72840790842872"
"5","1","0.5","0.01","17","0.7481789802289281"
"2","1","0.5","0.01","18","0.7346514047866806"
"11","1","0.5","0.01","12","0.7263267429760666"
"4","1","0.5","0.01","19","0.7658688865764828"
"1","1","0.5","0.01","16","0.7669094693028096"
"3","1","0.5","0.01","16","0.7575442247658689"
"14","1","0.5","0.01","14","0.7346514047866806"
"10","1","0.5","0.01","19","0.7762747138397502"
"13","1","0.5","0.01","16","0.7304890738813735"
"7","1","0.5","0.01","12","0.7336108220603538"
"9","1","0.5","0.01","17","0.7554630593132154"
"5","1","0.5","0.01","18","0.7481789802289281"
"8","1","0.5","0.01","14","0.7544224765868887"
"2","1","0.5","0.01","19","0.7304890738813735"
"15","1","0.5","0.01","15","0.7138397502601457"
"4","1","0.5","0.01","20","0.7658688865764828"
"11","1","0.5","0.01","13","0.7325702393340271"
"12","1","0.5","0.01","17","0.7377731529656608"
"6","1","0.5","0.01","14","0.72840790842872"
"1","1","0.5","0.01","17","0.7627471383975026"
"7","1","0.5","0.01","13","0.7336108220603538"
"13","1","0.5","0.01","17","0.7346514047866806"
"3","1","0.5","0.01","17","0.7575442247658689"
"5","1","0.5","0.01","19","0.7481789802289281"
"9","1","0.5","0.01","18","0.7554630593132154"
"14","1","0.5","0.01","15","0.7388137356919875"
"10","1","0.5","0.01","20","0.7762747138397502"
"4","1","0.5","0.01","21","0.7658688865764828"
"8","1","0.5","0.01","15","0.7513007284079084"
"15","1","0.5","0.01","16","0.7138397502601457"
"12","1","0.5","0.01","18","0.7377731529656608"
"1","1","0.5","0.01","18","0.7648283038501561"
"11","1","0.5","0.01","14","0.7325702393340271"
"5","1","0.5","0.01","20","0.7481789802289281"
"13","1","0.5","0.01","18","0.7325702393340271"
"9","1","0.5","0.01","19","0.7554630593132154"
"14","1","0.5","0.01","16","0.7388137356919875"
"3","1","0.5","0.01","18","0.7575442247658689"
"4","1","0.5","0.01","22","0.7658688865764828"
"6","1","0.5","0.01","15","0.72840790842872"
"2","1","0.5","0.01","20","0.7325702393340271"
"7","1","0.5","0.01","14","0.7336108220603538"
"12","1","0.5","0.01","19","0.7377731529656608"
"10","1","0.5","0.01","21","0.7762747138397502"
"8","1","0.5","0.01","16","0.7533818938605619"
"15","1","0.5","0.01","17","0.7138397502601457"
"1","1","0.5","0.01","19","0.7669094693028096"
"13","1","0.5","0.01","19","0.7336108220603538"
"9","1","0.5","0.01","20","0.7554630593132154"
"5","1","0.5","0.01","21","0.7481789802289281"
"14","1","0.5","0.01","17","0.7388137356919875"
"3","1","0.5","0.01","19","0.7575442247658689"
"6","1","0.5","0.01","16","0.72840790842872"
"4","1","0.5","0.01","23","0.7658688865764828"
"10","1","0.5","0.01","22","0.7762747138397502"
"2","1","0.5","0.01","21","0.7346514047866806"
"11","1","0.5","0.01","15","0.7325702393340271"
"12","1","0.5","0.01","20","0.7377731529656608"
"7","1","0.5","0.01","15","0.7336108220603538"
"9","1","0.5","0.01","21","0.7554630593132154"
"5","1","0.5","0.01","22","0.7481789802289281"
"15","1","0.5","0.01","18","0.7138397502601457"
"13","1","0.5","0.01","20","0.7346514047866806"
"8","1","0.5","0.01","17","0.7554630593132154"
"14","1","0.5","0.01","18","0.7388137356919875"
"1","1","0.5","0.01","20","0.7627471383975026"
"3","1","0.5","0.01","20","0.7575442247658689"
"10","1","0.5","0.01","23","0.7762747138397502"
"4","1","0.5","0.01","24","0.7658688865764828"
"2","1","0.5","0.01","22","0.7304890738813735"
"9","1","0.5","0.01","22","0.7554630593132154"
"13","1","0.5","0.01","21","0.7346514047866806"
"5","1","0.5","0.01","23","0.7481789802289281"
"12","1","0.5","0.01","21","0.7377731529656608"
"11","1","0.5","0.01","16","0.7325702393340271"
"6","1","0.5","0.01","17","0.72840790842872"
"7","1","0.5","0.01","16","0.7336108220603538"
"3","1","0.5","0.01","21","0.7575442247658689"
"1","1","0.5","0.01","21","0.7648283038501561"
"8","1","0.5","0.01","18","0.7513007284079084"
"10","1","0.5","0.01","24","0.7762747138397502"
"14","1","0.5","0.01","19","0.7388137356919875"
"15","1","0.5","0.01","19","0.7138397502601457"
"9","1","0.5","0.01","23","0.7554630593132154"
"2","1","0.5","0.01","23","0.7336108220603538"
"5","1","0.5","0.01","24","0.7481789802289281"
"4","1","0.5","0.01","25","0.7658688865764828"
"13","1","0.5","0.01","22","0.7346514047866806"
"12","1","0.5","0.01","22","0.7377731529656608"
"3","1","0.5","0.01","22","0.7575442247658689"
"11","1","0.5","0.01","17","0.7325702393340271"
"1","1","0.5","0.01","22","0.7669094693028096"
"6","1","0.5","0.01","18","0.72840790842872"
"7","1","0.5","0.01","17","0.7336108220603538"
"10","1","0.5","0.01","25","0.7762747138397502"
"5","1","0.5","0.01","25","0.7481789802289281"
"8","1","0.5","0.01","19","0.7544224765868887"
"2","1","0.5","0.01","24","0.7325702393340271"
"4","1","0.5","0.01","26","0.7658688865764828"
"14","1","0.5","0.01","20","0.7388137356919875"
"15","1","0.5","0.01","20","0.7138397502601457"
"9","1","0.5","0.01","24","0.7554630593132154"
"13","1","0.5","0.01","23","0.7346514047866806"
"12","1","0.5","0.01","23","0.7377731529656608"
"3","1","0.5","0.01","23","0.7575442247658689"
"11","1","0.5","0.01","18","0.7325702393340271"
"5","1","0.5","0.01","26","0.7481789802289281"
"10","1","0.5","0.01","26","0.7762747138397502"
"8","1","0.5","0.01","20","0.7533818938605619"
"13","1","0.5","0.01","24","0.7346514047866806"
"14","1","0.5","0.01","21","0.7388137356919875"
"6","1","0.5","0.01","19","0.72840790842872"
"12","1","0.5","0.01","24","0.7377731529656608"
"9","1","0.5","0.01","25","0.7554630593132154"
"4","1","0.5","0.01","27","0.7658688865764828"
"2","1","0.5","0.01","25","0.7346514047866806"
"1","1","0.5","0.01","23","0.7627471383975026"
"7","1","0.5","0.01","18","0.7336108220603538"
"5","1","0.5","0.01","27","0.7481789802289281"
"10","1","0.5","0.01","27","0.7762747138397502"
"15","1","0.5","0.01","21","0.7138397502601457"
"3","1","0.5","0.01","24","0.7575442247658689"
"11","1","0.5","0.01","19","0.7325702393340271"
"13","1","0.5","0.01","25","0.7346514047866806"
"12","1","0.5","0.01","25","0.7377731529656608"
"8","1","0.5","0.01","21","0.7554630593132154"
"14","1","0.5","0.01","22","0.7388137356919875"
"9","1","0.5","0.01","26","0.7554630593132154"
"4","1","0.5","0.01","28","0.7658688865764828"
"1","1","0.5","0.01","24","0.7648283038501561"
"15","1","0.5","0.01","22","0.7138397502601457"
"2","1","0.5","0.01","26","0.7304890738813735"
"5","1","0.5","0.01","28","0.7481789802289281"
"10","1","0.5","0.01","28","0.7762747138397502"
"3","1","0.5","0.01","25","0.7575442247658689"
"13","1","0.5","0.01","26","0.7346514047866806"
"6","1","0.5","0.01","20","0.72840790842872"
