"BehaviorSpace results (NetLogo 5.3.1)"
"wild_dogs.nlogo"
"sensitivity-analysis"
"04/12/2016 02:18:42:452 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","carrying-capacity","years-to-simulate","mortality-adult","mortality-disperser","mean-meeting-rate","[step]","count dogs","extinct?"
"177","40","100","0.15","0.2","1.4","100","25","false"
"179","40","100","0.15","0.2","1.4","56","0","true"
"174","40","100","0.15","0.2","1.4","100","27","false"
"178","40","100","0.15","0.2","1.4","100","28","false"
"181","40","100","0.15","0.2","1.6","100","29","false"
"182","40","100","0.15","0.2","1.6","100","13","false"
"184","40","100","0.15","0.2","1.6","72","0","true"
"186","40","100","0.15","0.2","1.6","100","27","false"
"185","40","100","0.15","0.2","1.6","100","12","false"
"187","40","100","0.15","0.2","1.6","100","9","false"
"190","40","100","0.15","0.2","1.6","45","0","true"
"183","40","100","0.15","0.2","1.6","100","31","false"
"188","40","100","0.15","0.2","1.6","100","36","false"
"189","40","100","0.15","0.2","1.6","100","30","false"
"191","40","100","0.15","0.2","1.6","100","14","false"
"193","40","100","0.15","0.2","1.6","100","43","false"
"195","40","100","0.15","0.2","1.6","100","36","false"
"192","40","100","0.15","0.2","1.6","100","26","false"
"194","40","100","0.15","0.2","1.6","100","25","false"
"199","40","100","0.15","0.2","1.6","79","0","true"
"198","40","100","0.15","0.2","1.6","100","29","false"
"203","40","100","0.15","0.2","1.6","41","0","true"
"196","40","100","0.15","0.2","1.6","100","20","false"
"197","40","100","0.15","0.2","1.6","100","33","false"
"201","40","100","0.15","0.2","1.6","100","25","false"
"202","40","100","0.15","0.2","1.6","100","30","false"
"200","40","100","0.15","0.2","1.6","100","35","false"
"207","40","100","0.15","0.2","1.6","93","0","true"
"209","40","100","0.15","0.2","1.6","87","0","true"
"208","40","100","0.15","0.2","1.6","100","23","false"
"211","40","100","0.15","0.2","1.8","100","21","false"
"205","40","100","0.15","0.2","1.6","100","29","false"
"204","40","100","0.15","0.2","1.6","100","32","false"
"206","40","100","0.15","0.2","1.6","100","35","false"
"210","40","100","0.15","0.2","1.6","100","38","false"
"213","40","100","0.15","0.2","1.8","100","41","false"
"212","40","100","0.15","0.2","1.8","100","21","false"
"220","40","100","0.15","0.2","1.8","28","0","true"
"215","40","100","0.15","0.2","1.8","100","30","false"
"218","40","100","0.15","0.2","1.8","100","23","false"
"217","40","100","0.15","0.2","1.8","100","35","false"
"214","40","100","0.15","0.2","1.8","100","28","false"
"219","40","100","0.15","0.2","1.8","100","26","false"
"216","40","100","0.15","0.2","1.8","100","21","false"
"222","40","100","0.15","0.2","1.8","92","0","true"
"223","40","100","0.15","0.2","1.8","100","32","false"
"221","40","100","0.15","0.2","1.8","100","19","false"
"225","40","100","0.15","0.2","1.8","100","20","false"
"227","40","100","0.15","0.2","1.8","100","20","false"
"228","40","100","0.15","0.2","1.8","100","1","false"
"226","40","100","0.15","0.2","1.8","100","16","false"
"224","40","100","0.15","0.2","1.8","100","26","false"
"229","40","100","0.15","0.2","1.8","100","19","false"
"237","40","100","0.15","0.2","1.8","35","0","true"
"233","40","100","0.15","0.2","1.8","100","18","false"
"232","40","100","0.15","0.2","1.8","100","27","false"
"230","40","100","0.15","0.2","1.8","100","27","false"
"231","40","100","0.15","0.2","1.8","100","15","false"
"234","40","100","0.15","0.2","1.8","82","0","true"
"239","40","100","0.15","0.2","1.8","100","30","false"
"238","40","100","0.15","0.2","1.8","100","35","false"
"236","40","100","0.15","0.2","1.8","100","32","false"
"235","40","100","0.15","0.2","1.8","100","27","false"
"244","40","100","0.15","0.2","2","43","0","true"
"242","40","100","0.15","0.2","2","51","0","true"
"241","40","100","0.15","0.2","2","100","25","false"
"248","40","100","0.15","0.2","2","64","0","true"
"240","40","100","0.15","0.2","1.8","100","42","false"
"245","40","100","0.15","0.2","2","92","0","true"
