"BehaviorSpace results (NetLogo 6.2.0)"
"BusinessInvestor.nlogo"
"vary-time-horizon"
"10/07/2021 01:21:37:948 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","18","0","18"
"[run number]","profit-multiplier","risk-multiplier","vision-mode","sense-radius","failure-max","turtle-coloring-mode","failure-min","max-ticks","color-patches-by","num-investors","time-horizon","[step]","mean [wealth] of turtles","mean [failures] of turtles","mean [profit] of turtles","mean [p-failure] of turtles"
"88","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","5","24","119830.14557690462","1.19","7536.144594898243","0.03519729891140244"
"86","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","5","24","121143.21081314195","1.18","7298.670552095191","0.03402241750505731"
"89","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","5","24","119273.16117977712","0.9","7576.764362756137","0.035278654484977905"
"90","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","5","24","132645.0863946135","0.85","7171.738944916109","0.03448525718370114"
"81","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","5","24","116952.6164065177","1.16","7167.925018246032","0.03258705821541311"
"87","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","5","24","123893.33097266075","0.95","7604.68815144129","0.03271908777714037"
"92","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","5","24","127528.24354887047","0.89","7424.392264578274","0.03293856851788493"
"91","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","5","24","126822.66829498198","0.97","6917.329826491477","0.036403994654478265"
"94","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","5","24","128645.57120560767","0.88","7415.223604044579","0.0331088881172807"
"82","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","5","24","136444.01638309346","0.84","7434.061839188141","0.032209826042638535"
"80","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","4","24","112751.50038115183","0.98","7191.790141455142","0.0384895038269035"
"96","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","5","24","132476.25094136604","0.88","7124.048773094133","0.034878670472302205"
"97","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","5","24","119831.62503989166","0.94","6869.343037684565","0.03573489409794617"
"78","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","4","24","129043.89172946027","1.06","7140.370150047664","0.034064239966687095"
"93","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","5","24","121392.2885090653","1.07","7426.125088705315","0.0355281273148478"
"95","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","5","24","122446.95154719782","0.95","7100.421911770891","0.03394863863121081"
"101","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","6","24","132495.07180646504","0.94","7401.68846488754","0.03403160266745482"
"104","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","6","24","126500.00241404185","0.94","7149.8704373852115","0.033117126346826536"
"103","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","6","24","131157.27140004453","0.93","7515.782468894235","0.033010183303166275"
"102","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","6","24","135666.24440129087","0.94","7106.9789962832665","0.03337451122705839"
"106","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","6","24","127500.45027855545","0.91","7228.477861321257","0.029475956189098755"
"107","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","6","24","131971.74550901295","0.69","7040.569195849786","0.029279962546367107"
"108","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","6","24","125338.8878316913","0.71","7110.430683267465","0.030662189668623836"
"100","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","5","24","124207.38783518605","1.04","7154.073398063292","0.031829013060953974"
"83","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","5","24","136155.24410263408","0.85","7214.000883659484","0.03235417876614217"
"98","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","5","24","129906.46196080504","0.76","7521.099404609389","0.0351064285787786"
"99","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","5","24","139738.72583399684","0.9","7414.042993068625","0.03523770962373059"
"105","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","6","24","128230.95797271821","1","7214.307177286609","0.03458536284284261"
"113","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","6","24","116275.9265448936","1.11","7260.320120158228","0.03312034777627853"
"117","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","6","24","133515.20207839305","0.74","6796.548482285767","0.031474917607673604"
"112","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","6","24","123444.70432089553","0.95","7375.428979802985","0.03213123859846828"
"118","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","6","24","136007.0819177403","0.76","6956.249101293334","0.03054604065294376"
"109","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","6","24","130387.75468962612","0.89","7180.12106692796","0.030595072414581197"
"119","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","6","24","124302.87950324077","0.84","7394.660259582818","0.031541432874104984"
"120","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","6","24","124968.31686265612","0.94","7375.042916386742","0.03218160065863669"
"122","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","7","24","128730.75496346707","0.85","7237.851436218384","0.03099156086932962"
"121","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","7","24","140192.45915938402","0.8","7542.884817240896","0.03159975134239741"
"123","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","7","24","125491.66762289916","0.96","7452.05736884294","0.0313910514214704"
"110","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","6","24","132717.97092395925","0.8","7120.42336050574","0.03336630720048877"
"116","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","6","24","121547.14217588288","0.87","7124.84536242066","0.03261444313128996"
"115","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","6","24","127759.5579360858","0.88","7370.372737715691","0.033400365579982175"
"131","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","7","24","129553.26314613112","0.96","7229.352634075312","0.03351311067140811"
"132","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","7","24","136134.3147888336","0.83","7547.570475825583","0.032750331906328804"
"129","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","7","24","117200.2412164548","0.98","7228.680856084573","0.03239487014009602"
"124","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","7","24","132379.3718518038","0.84","7190.571053296116","0.030340650687004117"
"134","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","7","24","107497.08754036773","1","7016.766199983204","0.030958411961860968"
"135","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","7","24","123657.68882554963","0.95","7543.891927928993","0.03340190624856283"
"111","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","6","24","146181.65020189396","0.62","7311.659655289366","0.029235822822414433"
"130","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","7","24","136924.3396008987","0.84","7584.695951511091","0.030018401689749025"
"138","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","7","24","132407.11877748615","0.94","7291.550995881315","0.03196542637377362"
"136","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","7","24","131052.00189000602","0.9","7356.272082910516","0.035153350458755235"
"137","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","7","24","139215.25507197325","0.71","7259.391647717209","0.02907348456192268"
"114","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","6","24","126909.90288878634","0.89","7192.597849029024","0.03323986446440779"
"127","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","7","24","117697.32230838909","1.11","7406.8574270045865","0.03579489792424451"
"125","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","7","24","140299.3470540641","0.72","6788.37496055949","0.02759606786561879"
"139","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","7","24","125549.55796790642","1","7206.905967559066","0.02960080360380339"
"133","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","7","24","133586.2212320844","0.95","7529.912230416431","0.032788017573467616"
"128","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","7","24","128005.65886272817","0.94","7418.671369801694","0.031287724900848"
"142","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","8","24","133334.22638584313","0.83","7112.532405985847","0.031112655854892094"
"144","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","8","24","133010.66818156006","0.67","7292.571190022353","0.03221203498623573"
"143","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","8","24","128516.01913365949","0.78","6918.0900857564675","0.030782450178178534"
"126","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","7","24","137190.5759021203","0.85","7526.195890073013","0.03069559550007421"
"140","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","7","24","127778.37575601751","0.76","7217.085302675172","0.03365996155509959"
"147","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","8","24","119257.13053018528","0.94","6809.686348307242","0.034007589136107394"
"146","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","8","24","128449.54695946755","0.86","7219.620411862476","0.03265944449359165"
"141","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","8","24","122150.84477338206","0.87","7235.28872540212","0.034765818605118376"
"150","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","8","24","131484.00922173169","0.75","7166.377100412828","0.029917110562483407"
"149","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","8","24","137024.25843385627","0.68","7164.524858771923","0.030639866502829998"
"151","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","8","24","121926.07943475945","0.84","7063.447386211644","0.030383958761193125"
"152","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","8","24","120082.56245810704","0.85","7375.956668924723","0.031650670955499303"
"145","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","8","24","115458.52320828567","0.89","7120.484815084271","0.032460828623914056"
"153","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","8","24","119900.04434104156","0.93","7069.394243312891","0.031489728774272724"
"160","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","8","24","137668.0536604701","0.85","7600.452520589214","0.03255676950285076"
"157","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","8","24","128430.54322013145","0.81","6875.119559083528","0.030711992918781808"
"154","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","8","24","124221.19871627691","0.95","7391.809239181225","0.03291523636706726"
"155","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","8","24","130164.88996355413","0.92","6964.717901118277","0.030322667085626635"
"161","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","9","24","129648.19935971533","0.71","7425.051914846247","0.028408663320516222"
"158","1","1","neighbors","2","0.1","wealth","0.01","25","exp utility","100","8","24","112886.49328502991","0.92","7264.124383557926","0.03244996271014713"
