"BehaviorSpace results (NetLogo 6.2.0)"
"BusinessInvestor.nlogo"
"vary-profit"
"10/07/2021 01:21:15:648 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","18","0","18"
"[run number]","max-ticks","vision-mode","sense-radius","failure-min","risk-multiplier","color-patches-by","num-investors","profit-multiplier","failure-max","turtle-coloring-mode","[step]","mean [wealth] of turtles","mean [profit] of turtles","mean [p-failure] of turtles"
"70","25","neighbors","10","0.01","1","exp utility","100","0.65","0.1","wealth","24","89086.26752878678","4750.524439670667","0.03511879428656381"
"74","25","neighbors","10","0.01","1","exp utility","100","0.65","0.1","wealth","24","92755.70649017047","5050.891561905346","0.028687367200057358"
"77","25","neighbors","10","0.01","1","exp utility","100","0.65","0.1","wealth","24","86837.11692154685","4854.00579514421","0.036318773225521704"
"79","25","neighbors","10","0.01","1","exp utility","100","0.65","0.1","wealth","24","80084.75791143562","4848.462503516144","0.036628663719591954"
"78","25","neighbors","10","0.01","1","exp utility","100","0.65","0.1","wealth","24","77627.29013575036","4765.975824052818","0.03126437070585823"
"52","25","neighbors","10","0.01","1","exp utility","100","0.6","0.1","wealth","24","84141.1726525074","4443.650511348094","0.032489215427523005"
"80","25","neighbors","10","0.01","1","exp utility","100","0.65","0.1","wealth","24","81969.29742980287","4708.52610251916","0.035359294826498744"
"69","25","neighbors","10","0.01","1","exp utility","100","0.65","0.1","wealth","24","84213.08225311644","4821.000662087412","0.03217134357646773"
"65","25","neighbors","10","0.01","1","exp utility","100","0.65","0.1","wealth","24","86207.51919641512","4551.752478386418","0.029689119491144583"
"72","25","neighbors","10","0.01","1","exp utility","100","0.65","0.1","wealth","24","84399.49948101047","4820.422347400053","0.03246505134123606"
"81","25","neighbors","10","0.01","1","exp utility","100","0.7","0.1","wealth","24","92995.61985707913","5256.0714150046315","0.03338433913991973"
"57","25","neighbors","10","0.01","1","exp utility","100","0.6","0.1","wealth","24","81645.58216552765","4407.998122048654","0.03295278213252504"
"85","25","neighbors","10","0.01","1","exp utility","100","0.7","0.1","wealth","24","100182.9998567144","5231.725824507701","0.029050341035718574"
"75","25","neighbors","10","0.01","1","exp utility","100","0.65","0.1","wealth","24","89400.30465276245","4811.149030524727","0.03039389284710904"
"73","25","neighbors","10","0.01","1","exp utility","100","0.65","0.1","wealth","24","77809.03054725955","4756.223894820132","0.031220070818751534"
"86","25","neighbors","10","0.01","1","exp utility","100","0.7","0.1","wealth","24","92402.8626709491","5115.488197484268","0.03324456735881703"
"87","25","neighbors","10","0.01","1","exp utility","100","0.7","0.1","wealth","24","91640.28788636027","5315.509721446741","0.036284073173130316"
"88","25","neighbors","10","0.01","1","exp utility","100","0.7","0.1","wealth","24","95021.99801221151","4985.856490216767","0.02877175965855519"
"76","25","neighbors","10","0.01","1","exp utility","100","0.65","0.1","wealth","24","78482.58386173316","4800.977373618469","0.03427493150620186"
"90","25","neighbors","10","0.01","1","exp utility","100","0.7","0.1","wealth","24","93971.81040657453","5227.485019446534","0.03104938122562249"
"89","25","neighbors","10","0.01","1","exp utility","100","0.7","0.1","wealth","24","86822.64363781824","5211.863181008475","0.03605310857748085"
"82","25","neighbors","10","0.01","1","exp utility","100","0.7","0.1","wealth","24","98099.27931126725","5155.319750808758","0.030781438209948764"
"91","25","neighbors","10","0.01","1","exp utility","100","0.7","0.1","wealth","24","90107.75833037768","5343.11735555022","0.029057024879143637"
"63","25","neighbors","10","0.01","1","exp utility","100","0.65","0.1","wealth","24","82655.72775016866","4654.500037365378","0.03322746604082553"
"98","25","neighbors","10","0.01","1","exp utility","100","0.7","0.1","wealth","24","98500.770603312","5218.0819065516525","0.0340162976104904"
"96","25","neighbors","10","0.01","1","exp utility","100","0.7","0.1","wealth","24","86456.54911475594","5104.125917681862","0.032715507481871624"
"99","25","neighbors","10","0.01","1","exp utility","100","0.7","0.1","wealth","24","91529.20962787229","5098.120817851972","0.031758626234101396"
"102","25","neighbors","10","0.01","1","exp utility","100","0.75","0.1","wealth","24","92953.43953036648","5840.174873358825","0.03722508244594888"
"101","25","neighbors","10","0.01","1","exp utility","100","0.75","0.1","wealth","24","93085.62829707698","5402.7712424480715","0.03273281931404793"
"95","25","neighbors","10","0.01","1","exp utility","100","0.7","0.1","wealth","24","86244.25489000912","5177.332088160061","0.031176586772548837"
"83","25","neighbors","10","0.01","1","exp utility","100","0.7","0.1","wealth","24","90556.34775072224","5111.68625734536","0.032176905703012744"
"84","25","neighbors","10","0.01","1","exp utility","100","0.7","0.1","wealth","24","79714.7891048393","5184.907440176422","0.03776623390589977"
"106","25","neighbors","10","0.01","1","exp utility","100","0.75","0.1","wealth","24","99596.92574646608","5573.205901352402","0.031885407839884666"
"103","25","neighbors","10","0.01","1","exp utility","100","0.75","0.1","wealth","24","97178.82526938425","5335.98960707795","0.0308716149910195"
"94","25","neighbors","10","0.01","1","exp utility","100","0.7","0.1","wealth","24","93626.01223721303","4960.218631873933","0.033365793175502756"
"105","25","neighbors","10","0.01","1","exp utility","100","0.75","0.1","wealth","24","93888.53244094957","5393.291113609702","0.03184615310380604"
"107","25","neighbors","10","0.01","1","exp utility","100","0.75","0.1","wealth","24","88763.82129631603","5600.947945584494","0.03384719463336209"
"110","25","neighbors","10","0.01","1","exp utility","100","0.75","0.1","wealth","24","100377.89608887598","5432.773384046544","0.030719193932848117"
"111","25","neighbors","10","0.01","1","exp utility","100","0.75","0.1","wealth","24","98630.35643983883","5598.2693487599445","0.032404310375391376"
"100","25","neighbors","10","0.01","1","exp utility","100","0.7","0.1","wealth","24","94447.33192661093","5171.025305778563","0.034376305747163244"
"93","25","neighbors","10","0.01","1","exp utility","100","0.7","0.1","wealth","24","79047.83702432908","4826.993626294333","0.035190910349334525"
"112","25","neighbors","10","0.01","1","exp utility","100","0.75","0.1","wealth","24","101084.32246553226","5441.184940296974","0.03157875078595686"
"108","25","neighbors","10","0.01","1","exp utility","100","0.75","0.1","wealth","24","100869.50448740069","5556.979715723658","0.030430972449663748"
"92","25","neighbors","10","0.01","1","exp utility","100","0.7","0.1","wealth","24","88189.45372928599","5130.841286191898","0.03157030752269732"
"114","25","neighbors","10","0.01","1","exp utility","100","0.75","0.1","wealth","24","94676.7946499141","5712.763194395864","0.03394373303251393"
"113","25","neighbors","10","0.01","1","exp utility","100","0.75","0.1","wealth","24","94089.0909431023","5528.19206570656","0.0350588782745504"
"119","25","neighbors","10","0.01","1","exp utility","100","0.75","0.1","wealth","24","90316.35973649046","5646.187503082631","0.03552315037898905"
"121","25","neighbors","10","0.01","1","exp utility","100","0.8","0.1","wealth","24","97053.96473452478","5657.168830876094","0.0328631977723463"
"104","25","neighbors","10","0.01","1","exp utility","100","0.75","0.1","wealth","24","95213.42033030117","5382.35233945141","0.03178064961998568"
"117","25","neighbors","10","0.01","1","exp utility","100","0.75","0.1","wealth","24","96886.2443920625","5615.426574346798","0.03491567154569003"
"97","25","neighbors","10","0.01","1","exp utility","100","0.7","0.1","wealth","24","97320.97835453798","5115.836608863126","0.030102569350804607"
"122","25","neighbors","10","0.01","1","exp utility","100","0.8","0.1","wealth","24","104777.43109564512","5867.883112864199","0.030628371014731294"
"123","25","neighbors","10","0.01","1","exp utility","100","0.8","0.1","wealth","24","99509.26449261949","6017.66026861044","0.03485081131022597"
"115","25","neighbors","10","0.01","1","exp utility","100","0.75","0.1","wealth","24","91446.87499050345","5496.006811799623","0.0314554613040959"
"124","25","neighbors","10","0.01","1","exp utility","100","0.8","0.1","wealth","24","91313.28176084954","5807.884449546397","0.03521816679279823"
"109","25","neighbors","10","0.01","1","exp utility","100","0.75","0.1","wealth","24","104032.8719657059","5823.277248381299","0.0335726136162616"
"120","25","neighbors","10","0.01","1","exp utility","100","0.75","0.1","wealth","24","99985.16939177952","5590.337295745484","0.03250142655445828"
"118","25","neighbors","10","0.01","1","exp utility","100","0.75","0.1","wealth","24","95566.88325296568","5518.482588000492","0.029550613569703774"
"127","25","neighbors","10","0.01","1","exp utility","100","0.8","0.1","wealth","24","110307.54595273422","6028.57233172325","0.029613799381827212"
"132","25","neighbors","10","0.01","1","exp utility","100","0.8","0.1","wealth","24","108033.28902598788","5932.528061245142","0.0343504500084994"
"130","25","neighbors","10","0.01","1","exp utility","100","0.8","0.1","wealth","24","103016.34092303272","5567.192926651078","0.031568167805885505"
"131","25","neighbors","10","0.01","1","exp utility","100","0.8","0.1","wealth","24","101042.246443078","5806.925178647054","0.03586777555091691"
"135","25","neighbors","10","0.01","1","exp utility","100","0.8","0.1","wealth","24","106746.55455890087","5850.779695944353","0.0337069992923233"
"133","25","neighbors","10","0.01","1","exp utility","100","0.8","0.1","wealth","24","108647.16005050937","6049.373275926629","0.0327930796692073"
"125","25","neighbors","10","0.01","1","exp utility","100","0.8","0.1","wealth","24","104031.50467221114","5795.082018176538","0.031833290556359015"
"137","25","neighbors","10","0.01","1","exp utility","100","0.8","0.1","wealth","24","91863.58754674305","5823.36404550845","0.03522090233137517"
"138","25","neighbors","10","0.01","1","exp utility","100","0.8","0.1","wealth","24","96344.86345726822","5780.410668449866","0.03536951434459229"
