"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"BusinessInvestor.nlogo"
"vary-vision"
"10/07/2025 22:04:18:816 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","18","0","18"
"[run number]","failure-max","turtle-coloring-mode","vision-mode","failure-min","color-patches-by","num-investors","sense-radius","max-ticks","[step]","mean-wealth","stdev-wealth"
"5","0.1","red","radius","0.01","exp utility","100","0","25","11","46146.924168409874","31532.69812934073"
"11","0.1","red","radius","0.01","exp utility","100","1","25","5","32082.982248184704","12107.879471926059"
"6","0.1","red","radius","0.01","exp utility","100","0","25","8","33139.84723706412","22261.912807775498"
"10","0.1","red","radius","0.01","exp utility","100","0","25","8","37971.06611058268","23328.80054183383"
"4","0.1","red","radius","0.01","exp utility","100","0","25","8","34749.50733795662","23869.045774928134"
"6","0.1","red","radius","0.01","exp utility","100","0","25","9","36889.61777423235","25020.228953874124"
"5","0.1","red","radius","0.01","exp utility","100","0","25","12","48672.39510455888","34751.21332426304"
"10","0.1","red","radius","0.01","exp utility","100","0","25","9","40982.07777287907","26203.158548592353"
"7","0.1","red","radius","0.01","exp utility","100","0","25","7","27737.584972191107","19902.55017622905"
"14","0.1","red","radius","0.01","exp utility","100","1","25","5","30933.384728347468","13953.540493893193"
"4","0.1","red","radius","0.01","exp utility","100","0","25","9","39226.37702828315","26102.348642608475"
"12","0.1","red","radius","0.01","exp utility","100","1","25","6","38435.833123972625","14944.827135797901"
"8","0.1","red","radius","0.01","exp utility","100","0","25","8","33201.24851379943","20372.211697993567"
"6","0.1","red","radius","0.01","exp utility","100","0","25","10","38835.0200251186","28106.68767378931"
"2","0.1","red","radius","0.01","exp utility","100","0","25","7","33473.62501098976","21189.521029118816"
"5","0.1","red","radius","0.01","exp utility","100","0","25","13","51207.18037993281","38293.831528280956"
"10","0.1","red","radius","0.01","exp utility","100","0","25","10","45728.9311265098","28401.027924924456"
"13","0.1","red","radius","0.01","exp utility","100","1","25","8","48513.68208568206","21791.51752887263"
"15","0.1","red","radius","0.01","exp utility","100","1","25","5","31187.450690491813","11485.782841569306"
"4","0.1","red","radius","0.01","exp utility","100","0","25","10","42252.28544433375","29499.948985887593"
"1","0.1","red","radius","0.01","exp utility","100","0","25","7","31113.917386494828","20883.54350638764"
"8","0.1","red","radius","0.01","exp utility","100","0","25","9","37494.95799952457","23096.20912930578"
"3","0.1","red","radius","0.01","exp utility","100","0","25","7","27977.198499125345","19566.141261433302"
"9","0.1","red","radius","0.01","exp utility","100","0","25","8","32781.437401013434","21372.225954052134"
"6","0.1","red","radius","0.01","exp utility","100","0","25","11","42352.231018359686","30877.242576752094"
"5","0.1","red","radius","0.01","exp utility","100","0","25","14","55559.72651515699","40573.97305628215"
"4","0.1","red","radius","0.01","exp utility","100","0","25","11","43095.900024926355","33304.36286368346"
"10","0.1","red","radius","0.01","exp utility","100","0","25","11","49004.497543363206","32269.268107323867"
"11","0.1","red","radius","0.01","exp utility","100","1","25","6","37724.20804920679","15149.539027979943"
"7","0.1","red","radius","0.01","exp utility","100","0","25","8","31466.9471817544","22872.08642313949"
"8","0.1","red","radius","0.01","exp utility","100","0","25","10","40907.18681362144","26511.568354344017"
"2","0.1","red","radius","0.01","exp utility","100","0","25","8","37240.311449223445","24397.582437740057"
"6","0.1","red","radius","0.01","exp utility","100","0","25","12","45285.82870819725","33664.48996127477"
"5","0.1","red","radius","0.01","exp utility","100","0","25","15","59174.51446151653","43092.08923068109"
"4","0.1","red","radius","0.01","exp utility","100","0","25","12","46748.93403818725","36407.65851878031"
"1","0.1","red","radius","0.01","exp utility","100","0","25","8","34870.209365416384","23393.991566923043"
"10","0.1","red","radius","0.01","exp utility","100","0","25","12","50294.69701129677","35727.38608232053"
"3","0.1","red","radius","0.01","exp utility","100","0","25","8","31656.697509258272","22506.878529315625"
"2","0.1","red","radius","0.01","exp utility","100","0","25","9","42659.8695654641","26931.535877294365"
"7","0.1","red","radius","0.01","exp utility","100","0","25","9","34239.55185765757","25394.14852979384"
