"BehaviorSpace results (NetLogo 6.2.0)"
"BusinessInvestor.nlogo"
"vary-risk"
"10/07/2021 01:21:26:749 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","18","0","18"
"[run number]","max-ticks","vision-mode","sense-radius","failure-min","risk-multiplier","color-patches-by","num-investors","profit-multiplier","failure-max","turtle-coloring-mode","[step]","mean [wealth] of turtles","mean [profit] of turtles","mean [p-failure] of turtles"
"91","25","neighbors","10","0.01","1.4","exp utility","100","1","0.1","wealth","24","112312.32088293832","7321.239633354811","0.04356351021979209"
"107","25","neighbors","10","0.01","1.5","exp utility","100","1","0.1","wealth","24","116560.92566520689","7235.966596119581","0.04441289990661782"
"109","25","neighbors","10","0.01","1.5","exp utility","100","1","0.1","wealth","24","101151.29823259925","6798.8394027291915","0.0454381301937741"
"111","25","neighbors","10","0.01","1.5","exp utility","100","1","0.1","wealth","24","119206.23532500751","7024.54133572159","0.04424779117439497"
"115","25","neighbors","10","0.01","1.5","exp utility","100","1","0.1","wealth","24","103800.42933780965","6664.264626598726","0.04373787795603242"
"116","25","neighbors","10","0.01","1.5","exp utility","100","1","0.1","wealth","24","108326.68267465454","7098.433859723084","0.04661661501544448"
"117","25","neighbors","10","0.01","1.5","exp utility","100","1","0.1","wealth","24","117201.167686969","7134.517512686172","0.0459856028378664"
"112","25","neighbors","10","0.01","1.5","exp utility","100","1","0.1","wealth","24","101776.27934381572","6961.2736235441225","0.050348150709743494"
"119","25","neighbors","10","0.01","1.5","exp utility","100","1","0.1","wealth","24","126022.20599004868","7337.074254174645","0.041972147068134256"
"118","25","neighbors","10","0.01","1.5","exp utility","100","1","0.1","wealth","24","107381.88550355323","7317.920420843308","0.049294937926188484"
"126","25","neighbors","10","0.01","1.6","exp utility","100","1","0.1","wealth","24","119224.64092560651","7171.794727118575","0.05333362217566715"
"124","25","neighbors","10","0.01","1.6","exp utility","100","1","0.1","wealth","24","109284.42066569276","6965.951634979085","0.04952135366950416"
"110","25","neighbors","10","0.01","1.5","exp utility","100","1","0.1","wealth","24","100217.96943379265","7197.057194505959","0.05157349028409084"
"128","25","neighbors","10","0.01","1.6","exp utility","100","1","0.1","wealth","24","105537.44569095975","7226.502978457491","0.05559052381425495"
"123","25","neighbors","10","0.01","1.6","exp utility","100","1","0.1","wealth","24","110923.84054431098","7059.365264864282","0.04910832783349826"
"129","25","neighbors","10","0.01","1.6","exp utility","100","1","0.1","wealth","24","96250.86278842742","6695.760169411493","0.04853901844627023"
"125","25","neighbors","10","0.01","1.6","exp utility","100","1","0.1","wealth","24","93791.80728404078","7157.130152904148","0.04879215701175746"
"113","25","neighbors","10","0.01","1.5","exp utility","100","1","0.1","wealth","24","101929.81680834945","7282.672028986056","0.04660627967009993"
"114","25","neighbors","10","0.01","1.5","exp utility","100","1","0.1","wealth","24","107700.89565205453","7000.759093294102","0.04826125557868675"
"122","25","neighbors","10","0.01","1.6","exp utility","100","1","0.1","wealth","24","110182.03331589254","7399.705046918006","0.051384169913076795"
"131","25","neighbors","10","0.01","1.6","exp utility","100","1","0.1","wealth","24","106844.62784619938","7367.978150303607","0.051975035225254936"
"132","25","neighbors","10","0.01","1.6","exp utility","100","1","0.1","wealth","24","114355.9543353616","6952.504794310784","0.04844054484172191"
"127","25","neighbors","10","0.01","1.6","exp utility","100","1","0.1","wealth","24","100969.832717392","7194.443317363587","0.052498539814813915"
"130","25","neighbors","10","0.01","1.6","exp utility","100","1","0.1","wealth","24","112694.10829816146","7101.444198982542","0.04471756894758103"
"133","25","neighbors","10","0.01","1.6","exp utility","100","1","0.1","wealth","24","118483.95018337954","7336.82774496338","0.05122086514212193"
"120","25","neighbors","10","0.01","1.5","exp utility","100","1","0.1","wealth","24","110315.4247674395","6897.709702654589","0.04828412994324388"
"136","25","neighbors","10","0.01","1.6","exp utility","100","1","0.1","wealth","24","111501.44501054354","7258.24648884387","0.05377792372513083"
"121","25","neighbors","10","0.01","1.6","exp utility","100","1","0.1","wealth","24","116108.50169876768","7076.546861077957","0.04921219174391787"
"141","25","neighbors","10","0.01","1.7","exp utility","100","1","0.1","wealth","24","105701.65472382844","6950.915022885314","0.047487186928836606"
"138","25","neighbors","10","0.01","1.6","exp utility","100","1","0.1","wealth","24","105531.25107553013","6778.616120511337","0.047087286653418256"
"140","25","neighbors","10","0.01","1.6","exp utility","100","1","0.1","wealth","24","90057.1897659518","7611.57695367042","0.05354759650453994"
"145","25","neighbors","10","0.01","1.7","exp utility","100","1","0.1","wealth","24","101659.5783113722","6726.461405476718","0.05200896815126692"
"148","25","neighbors","10","0.01","1.7","exp utility","100","1","0.1","wealth","24","110427.2852688471","7141.967074812622","0.04825023720916983"
"137","25","neighbors","10","0.01","1.6","exp utility","100","1","0.1","wealth","24","117380.70012502377","7268.644061041114","0.05176493946654757"
"139","25","neighbors","10","0.01","1.6","exp utility","100","1","0.1","wealth","24","104713.22061140604","6985.592965912019","0.04704901930294331"
"135","25","neighbors","10","0.01","1.6","exp utility","100","1","0.1","wealth","24","97218.66674126052","7021.223242208452","0.05154016672746713"
"134","25","neighbors","10","0.01","1.6","exp utility","100","1","0.1","wealth","24","106872.80378826348","7289.945468053683","0.050668228970919334"
"149","25","neighbors","10","0.01","1.7","exp utility","100","1","0.1","wealth","24","103392.30410548426","6730.953153980446","0.048229085433503946"
"142","25","neighbors","10","0.01","1.7","exp utility","100","1","0.1","wealth","24","110566.41071114718","7228.925054906398","0.048788588026030616"
"143","25","neighbors","10","0.01","1.7","exp utility","100","1","0.1","wealth","24","103838.76320311848","7101.022234045498","0.046582529348502974"
"151","25","neighbors","10","0.01","1.7","exp utility","100","1","0.1","wealth","24","107265.73507651665","7099.259361980221","0.04639112904037829"
"144","25","neighbors","10","0.01","1.7","exp utility","100","1","0.1","wealth","24","99998.09371968797","7101.390568572894","0.0510082073021433"
"153","25","neighbors","10","0.01","1.7","exp utility","100","1","0.1","wealth","24","83706.3512958478","7155.03274203817","0.05134919917958701"
"146","25","neighbors","10","0.01","1.7","exp utility","100","1","0.1","wealth","24","108903.12784805843","7325.820991519883","0.05105273334982221"
"155","25","neighbors","10","0.01","1.7","exp utility","100","1","0.1","wealth","24","104533.06628596025","7049.312484483337","0.05026331247291914"
"156","25","neighbors","10","0.01","1.7","exp utility","100","1","0.1","wealth","24","103392.25916113264","7203.371696852072","0.049200274179710506"
"157","25","neighbors","10","0.01","1.7","exp utility","100","1","0.1","wealth","24","106614.60321063982","7060.31087312771","0.04717827538827477"
"158","25","neighbors","10","0.01","1.7","exp utility","100","1","0.1","wealth","24","102603.179290158","6717.383074749541","0.05214216971546987"
"154","25","neighbors","10","0.01","1.7","exp utility","100","1","0.1","wealth","24","99633.99969203737","7213.138431543584","0.051518086788649595"
"150","25","neighbors","10","0.01","1.7","exp utility","100","1","0.1","wealth","24","102861.76654428276","6988.61998152041","0.05510936963939441"
"152","25","neighbors","10","0.01","1.7","exp utility","100","1","0.1","wealth","24","96578.65743575858","6554.804071356588","0.050314271387426605"
"159","25","neighbors","10","0.01","1.7","exp utility","100","1","0.1","wealth","24","128479.59681159176","7319.641130872841","0.0451582649129772"
"147","25","neighbors","10","0.01","1.7","exp utility","100","1","0.1","wealth","24","102637.24019933683","7165.792433719722","0.05301831468847068"
"164","25","neighbors","10","0.01","1.8","exp utility","100","1","0.1","wealth","24","93976.1904520912","6932.273098063579","0.0536805596773922"
"163","25","neighbors","10","0.01","1.8","exp utility","100","1","0.1","wealth","24","110946.69100098479","6994.965229341371","0.04973984019400326"
"167","25","neighbors","10","0.01","1.8","exp utility","100","1","0.1","wealth","24","94777.67556960382","6921.905761881353","0.058895501102117276"
"169","25","neighbors","10","0.01","1.8","exp utility","100","1","0.1","wealth","24","90086.87888854205","7171.39403721893","0.054779527563110136"
"162","25","neighbors","10","0.01","1.8","exp utility","100","1","0.1","wealth","24","100267.62808242794","7092.030100228605","0.051499928738739084"
"160","25","neighbors","10","0.01","1.7","exp utility","100","1","0.1","wealth","24","103716.8374325316","6812.818903180894","0.04842977263919687"
"171","25","neighbors","10","0.01","1.8","exp utility","100","1","0.1","wealth","24","101841.47005714462","6863.146847472965","0.052380611054206605"
