"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"BusinessInvestor.nlogo"
"vary-vision-and-investors"
"10/07/2025 21:50:53:651 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","18","0","18"
"[run number]","failure-max","turtle-coloring-mode","vision-mode","failure-min","color-patches-by","num-investors","sense-radius","max-ticks","[step]","mean-wealth"
"116","0.1","red","radius","0.01","exp utility","10","3","25","24","174884.2930147305"
"115","0.1","red","radius","0.01","exp utility","10","3","25","24","160946.2238155946"
"119","0.1","red","radius","0.01","exp utility","10","3","25","24","147650.7415126884"
"118","0.1","red","radius","0.01","exp utility","10","3","25","24","163606.0148530712"
"122","0.1","red","radius","0.01","exp utility","10","4","25","24","219461.04486010494"
"123","0.1","red","radius","0.01","exp utility","10","4","25","24","135288.78411103185"
"125","0.1","red","radius","0.01","exp utility","10","4","25","24","184742.28130445234"
"131","0.1","red","radius","0.01","exp utility","10","4","25","24","214807.6630070046"
"126","0.1","red","radius","0.01","exp utility","10","4","25","24","144964.53134505052"
"120","0.1","red","radius","0.01","exp utility","10","3","25","24","160475.90593294724"
"130","0.1","red","radius","0.01","exp utility","10","4","25","24","136631.30426456258"
"132","0.1","red","radius","0.01","exp utility","10","4","25","24","125247.9851949519"
"124","0.1","red","radius","0.01","exp utility","10","4","25","24","189569.23618292162"
"133","0.1","red","radius","0.01","exp utility","10","4","25","24","191644.90696650455"
"127","0.1","red","radius","0.01","exp utility","10","4","25","24","164941.58796799384"
"121","0.1","red","radius","0.01","exp utility","10","4","25","24","123135.78599393182"
"134","0.1","red","radius","0.01","exp utility","10","4","25","24","152620.1559537026"
"135","0.1","red","radius","0.01","exp utility","10","4","25","24","207734.839382972"
"136","0.1","red","radius","0.01","exp utility","10","4","25","24","159917.59888615797"
"129","0.1","red","radius","0.01","exp utility","10","4","25","24","154757.31608249628"
"137","0.1","red","radius","0.01","exp utility","10","4","25","24","128678.80312079533"
"140","0.1","red","radius","0.01","exp utility","10","4","25","24","180587.54786455067"
"138","0.1","red","radius","0.01","exp utility","10","4","25","24","194173.35200516478"
"128","0.1","red","radius","0.01","exp utility","10","4","25","24","157111.80604648072"
"139","0.1","red","radius","0.01","exp utility","10","4","25","24","216725.24260154535"
"141","0.1","red","radius","0.01","exp utility","10","4","25","24","177296.06464605874"
"144","0.1","red","radius","0.01","exp utility","10","4","25","24","198065.51661135"
"142","0.1","red","radius","0.01","exp utility","10","4","25","24","153583.81811961564"
"143","0.1","red","radius","0.01","exp utility","10","4","25","24","183605.25476798363"
"145","0.1","red","radius","0.01","exp utility","10","4","25","24","199716.1101058855"
"147","0.1","red","radius","0.01","exp utility","10","4","25","24","168763.0930112146"
"148","0.1","red","radius","0.01","exp utility","10","4","25","24","156188.2594873541"
"149","0.1","red","radius","0.01","exp utility","10","4","25","24","183400.25025792618"
"146","0.1","red","radius","0.01","exp utility","10","4","25","24","151876.72425421682"
"153","0.1","red","radius","0.01","exp utility","10","5","25","24","173989.6851785175"
"152","0.1","red","radius","0.01","exp utility","10","5","25","24","201330.8433371975"
"151","0.1","red","radius","0.01","exp utility","10","5","25","24","172419.7803671415"
"157","0.1","red","radius","0.01","exp utility","10","5","25","24","119296.96106198689"
"155","0.1","red","radius","0.01","exp utility","10","5","25","24","213785.74952511053"
"158","0.1","red","radius","0.01","exp utility","10","5","25","24","106747.5109649933"
"156","0.1","red","radius","0.01","exp utility","10","5","25","24","187987.1315360853"
"159","0.1","red","radius","0.01","exp utility","10","5","25","24","199052.82865976277"
"150","0.1","red","radius","0.01","exp utility","10","4","25","24","174076.0546112323"
"160","0.1","red","radius","0.01","exp utility","10","5","25","24","200420.16564532928"
"162","0.1","red","radius","0.01","exp utility","10","5","25","24","186787.08385662222"
"165","0.1","red","radius","0.01","exp utility","10","5","25","24","156717.7597043717"
"161","0.1","red","radius","0.01","exp utility","10","5","25","24","162558.10131144372"
"163","0.1","red","radius","0.01","exp utility","10","5","25","24","168040.43007914795"
"154","0.1","red","radius","0.01","exp utility","10","5","25","24","182725.40443901726"
"166","0.1","red","radius","0.01","exp utility","10","5","25","24","180619.07796251963"
"167","0.1","red","radius","0.01","exp utility","10","5","25","24","187022.23357621065"
"168","0.1","red","radius","0.01","exp utility","10","5","25","24","200646.3798901806"
"164","0.1","red","radius","0.01","exp utility","10","5","25","24","160973.1241221094"
"170","0.1","red","radius","0.01","exp utility","10","5","25","24","197479.62320699095"
"169","0.1","red","radius","0.01","exp utility","10","5","25","24","224621.76367201857"
"172","0.1","red","radius","0.01","exp utility","10","5","25","24","182883.52545859662"
"176","0.1","red","radius","0.01","exp utility","10","5","25","24","191252.35345666605"
"175","0.1","red","radius","0.01","exp utility","10","5","25","24","159140.8894555212"
"174","0.1","red","radius","0.01","exp utility","10","5","25","24","168544.2365613199"
"178","0.1","red","radius","0.01","exp utility","10","5","25","24","200547.6177840024"
"180","0.1","red","radius","0.01","exp utility","10","5","25","24","171527.10843128338"
"171","0.1","red","radius","0.01","exp utility","10","5","25","24","146896.6615087801"
"181","0.1","red","radius","0.01","exp utility","10","6","25","24","165392.627060789"
"182","0.1","red","radius","0.01","exp utility","10","6","25","24","178282.63945332798"
"177","0.1","red","radius","0.01","exp utility","10","5","25","24","141142.54785398065"
"184","0.1","red","radius","0.01","exp utility","10","6","25","24","199210.20221353148"
"185","0.1","red","radius","0.01","exp utility","10","6","25","24","179312.55371789422"
"187","0.1","red","radius","0.01","exp utility","10","6","25","24","139674.84083490487"
"188","0.1","red","radius","0.01","exp utility","10","6","25","24","153712.84787854675"
"173","0.1","red","radius","0.01","exp utility","10","5","25","24","185513.04248846573"
"179","0.1","red","radius","0.01","exp utility","10","5","25","24","197013.64848787925"
"189","0.1","red","radius","0.01","exp utility","10","6","25","24","154293.34131682548"
"186","0.1","red","radius","0.01","exp utility","10","6","25","24","142704.40815869044"
"190","0.1","red","radius","0.01","exp utility","10","6","25","24","198562.58429744293"
"194","0.1","red","radius","0.01","exp utility","10","6","25","24","185896.85877248165"
"183","0.1","red","radius","0.01","exp utility","10","6","25","24","175832.4694255598"
"191","0.1","red","radius","0.01","exp utility","10","6","25","24","184742.5495354716"
"193","0.1","red","radius","0.01","exp utility","10","6","25","24","185126.84174004965"
"192","0.1","red","radius","0.01","exp utility","10","6","25","24","224508.88136381825"
"195","0.1","red","radius","0.01","exp utility","10","6","25","24","169062.7862356594"
"197","0.1","red","radius","0.01","exp utility","10","6","25","24","171538.8412097685"
"196","0.1","red","radius","0.01","exp utility","10","6","25","24","175945.57155969116"
"199","0.1","red","radius","0.01","exp utility","10","6","25","24","196344.05147471436"
"198","0.1","red","radius","0.01","exp utility","10","6","25","24","151991.64834800648"
