"BehaviorSpace results (NetLogo 5.3.1)"
"segregation.nlogo"
"first-experiment"
"04/11/2017 01:16:57:528 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","density","%-similar-wanted","[step]","percent-similar"
"513","60","15","6","56.120826709062"
"512","60","15","6","55.93898474618655"
"518","60","15","4","53.67101560501407"
"519","60","15","4","56.50098286998034"
"520","60","15","4","56.37748164264346"
"526","60","20","5","57.993474714518754"
"522","60","20","6","58.75737981445038"
"523","60","20","7","56.81818181818182"
"524","60","20","6","59.06677842972897"
"525","60","20","5","56.60040774719673"
"521","60","20","8","59.989780275932546"
"529","60","20","5","56.657575006198854"
"527","60","20","6","59.35271530444323"
"528","60","20","7","56.71803190051365"
"533","60","20","5","58.62548692264886"
"531","60","20","5","56.7891156462585"
"532","60","20","5","57.12140175219024"
"536","60","20","6","60.5444047291724"
"535","60","20","5","55.46239210850802"
"530","60","20","7","56.63856691253951"
"539","60","20","6","57.8125"
"534","60","20","8","58.524374176548086"
"538","60","20","8","58.962644450416555"
"540","60","20","7","59.12510448592923"
"537","60","20","8","58.20700470465238"
"542","60","25","8","64.06035665294925"
"544","60","25","7","63.90608875128999"
"545","60","25","7","65.49432290224314"
"546","60","25","8","63.35050149091895"
"543","60","25","9","63.09173575822412"
"541","60","25","9","62.06801974766868"
"549","60","25","8","64.07922912205566"
"550","60","25","8","64.1403320835565"
"547","60","25","9","65.78947368421053"
"552","60","25","9","64.63858554342174"
"553","60","25","10","64.54469969554387"
"555","60","25","7","63.48025186033199"
"556","60","25","9","65.0143490738325"
"548","60","25","11","64.07407407407408"
"554","60","25","9","62.209747384536875"
"557","60","25","7","63.526383526383526"
"558","60","25","8","63.666838576585874"
"551","60","25","13","62.67281105990783"
"559","60","25","9","64.58392502130077"
"560","60","25","11","62.77922077922078"
"562","60","30","10","73.99297107326305"
"561","60","30","9","72.71547248182763"
"564","60","30","10","74.91059147180192"
"563","60","30","9","72.02320887991928"
"567","60","30","9","71.07661985710766"
"565","60","30","12","74.20701168614357"
"573","60","30","9","73.74330186272007"
"566","60","30","13","73.28471096704484"
"568","60","30","11","71.27604166666667"
"574","60","30","9","71.67859984089101"
"577","60","30","9","70.96532801197306"
"572","60","30","11","73.36256508632502"
"570","60","30","12","73.14571278274592"
"575","60","30","13","74.54966546577457"
"571","60","30","15","72.6447824926608"
"580","60","30","8","71.2768781523759"
"576","60","30","13","74.55529775715391"
"583","60","35","9","79.58344047312934"
"579","60","30","13","73.46938775510205"
"569","60","30","21","72.10210992445948"
"578","60","30","14","72.3888591322978"
"582","60","35","12","80.69392812887237"
"584","60","35","10","82.0404943465685"
"586","60","35","11","81.60692212608159"
"585","60","35","13","80.94086021505376"
"587","60","35","11","81.39227104287983"
"581","60","35","16","81.33858267716535"
"589","60","35","13","79.77243994943109"
"591","60","35","11","80.55041016141836"
"588","60","35","14","82.4369105276574"
"595","60","35","10","79.33138116154221"
"590","60","35","13","80.20317145688801"
"593","60","35","13","81.04080136818959"
"594","60","35","11","80.63271604938271"
"596","60","35","13","80.36858974358975"
"597","60","35","13","81.2296858071506"
"599","60","35","10","80.28846153846155"
"592","60","35","13","80.49834731756928"
"598","60","35","12","80.08021390374331"
"422","55","50","17","89.54891994917408"
"601","60","40","12","80.83969465648855"
"602","60","40","14","81.10587651872055"
"603","60","40","16","81.38176276352553"
"604","60","40","13","83.00261096605745"
"605","60","40","13","81.3305827746261"
"600","60","35","16","81.37412775093934"
"613","60","40","12","81.65961945031712"
"610","60","40","14","80.70539419087137"
"607","60","40","17","81.56323032978447"
"612","60","40","14","82.826982492276"
"611","60","40","15","83.59493670886076"
"608","60","40","17","81.91773504273505"
"606","60","40","18","82.06394593189499"
"616","60","40","13","81.34095634095634"
"609","60","40","16","80.3066349458102"
"614","60","40","14","80.08769667268506"
"617","60","40","12","81.66459627329192"
"618","60","40","16","82.06951026856241"
"615","60","40","18","82.03485392106612"
"620","60","40","16","80.08565310492506"
