"BehaviorSpace results (NetLogo 6.0.2)"
"butterfly_class_7.nlogo"
"optimize-mating"
"01/30/2018 02:13:59:262 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","149","0","149"
"[run number]","initialization","q","real-terrain","[step]","corridor-width","cluster-size","mean-elevation"
"327","""edge""","0.15","true","999","45.43099844865385","2.84","597.914"
"328","""edge""","0.15","true","999","41.16427553584567","3.36","595.918"
"333","""edge""","0.15","true","999","45.96018075133671","2.64","611.6160000000001"
"331","""edge""","0.15","true","999","36.60646274453329","6.72","604.372"
"329","""edge""","0.15","true","999","41.688223519743026","3.84","609.916"
"332","""edge""","0.15","true","999","41.20577887923948","2.84","598.314"
"330","""edge""","0.15","true","999","33.76451577446547","4.2","593.5419999999999"
"334","""edge""","0.15","true","999","42.01432422840117","2.64","598.282"
"335","""edge""","0.15","true","999","43.13868265811999","2.48","590.928"
"337","""edge""","0.15","true","999","41.55949400722791","3.04","593.784"
"336","""edge""","0.15","true","999","41.308155301777006","2.28","596.5659999999999"
"338","""edge""","0.15","true","999","34.8825164089306","4.2","603.0940000000003"
"339","""edge""","0.15","true","999","38.871418851672246","3.48","612.6919999999999"
"341","""edge""","0.15","true","999","37.94740275174512","2.8","593.114"
"340","""edge""","0.15","true","999","29.542313011422056","3.76","600.1020000000001"
"342","""edge""","0.15","true","999","39.910172408482666","3.76","592.53"
"344","""edge""","0.15","true","999","34.326111882226606","3.24","594.512"
"343","""edge""","0.15","true","999","42.37693447822775","3.72","607.052"
"346","""edge""","0.15","true","999","30.039438614778533","3.68","596.2620000000001"
"345","""edge""","0.15","true","999","42.35039334793152","3.36","611.966"
"347","""edge""","0.15","true","999","45.60280018566939","2.6","605.798"
"348","""edge""","0.15","true","999","34.42008950379013","4.2","610.9340000000001"
"349","""edge""","0.15","true","999","39.563583765470824","4.36","603.506"
"351","""edge""","0.15","true","999","42.9431568995493","2.68","598.4639999999998"
"354","""edge""","0.15","true","999","36.884463747275156","3.04","601.6419999999999"
"353","""edge""","0.15","true","999","35.89505132680833","3.4","600.9340000000001"
"350","""edge""","0.15","true","999","41.193194396587884","3.56","606.442"
"352","""edge""","0.15","true","999","30.501351692417334","3.04","596.104"
"355","""edge""","0.15","true","999","38.186380454185496","4.56","598.4000000000001"
"356","""edge""","0.15","true","999","32.36792111925054","2.6","602.558"
"357","""edge""","0.15","true","999","42.40107519058493","3.2","602.3459999999999"
"358","""edge""","0.15","true","999","40.54410659750159","3.56","602.9639999999997"
"359","""edge""","0.15","true","999","35.61141355247572","4.16","599.576"
"361","""edge""","0.15","true","999","41.10504276622758","2.96","591.014"
"360","""edge""","0.15","true","999","33.92397408237741","2.52","594.7460000000001"
"363","""edge""","0.15","true","999","39.42065265103064","3.24","603.9060000000001"
"362","""edge""","0.15","true","999","42.95072248259966","3.12","604.624"
"364","""edge""","0.15","true","999","40.049237951732515","2.52","592.9220000000001"
"365","""edge""","0.15","true","999","39.99724427292126","3.8","608.9120000000001"
"366","""edge""","0.15","true","999","42.173548364983446","2.84","604.9939999999999"
"367","""edge""","0.15","true","999","41.970068879876216","3.84","595.1680000000001"
"368","""edge""","0.15","true","999","43.629624413427585","3.32","594.814"
"369","""edge""","0.15","true","999","44.758169465342895","3.12","603.738"
"370","""edge""","0.15","true","999","31.575762604308334","5.08","608.338"
"371","""edge""","0.15","true","999","37.57321702445944","2.56","589.7359999999999"
"373","""edge""","0.15","true","999","36.23054785965383","4.64","597.3839999999999"
"372","""edge""","0.15","true","999","35.6433235551963","3.2","598.7420000000001"
"374","""edge""","0.15","true","999","35.80882528625312","3.96","605.1600000000001"
"375","""edge""","0.15","true","999","39.84948103201941","3.68","597.8820000000001"
"377","""edge""","0.15","true","999","43.92190361236804","3.76","609.0419999999999"
"376","""edge""","0.15","true","999","41.43132085583716","2.2","587.604"
"379","""edge""","0.15","true","999","46.75273437352035","2.52","600.6320000000001"
"378","""edge""","0.15","true","999","42.24872891477286","3.52","598.3719999999998"
"381","""edge""","0.15","true","999","41.58426587711978","3.32","612.6819999999999"
"380","""edge""","0.15","true","999","39.84921034810939","2.48","593.9459999999999"
"382","""edge""","0.15","true","999","41.77487869115908","2.2","597.444"
"383","""edge""","0.15","true","999","43.09147103646362","3.28","594.94"
"384","""edge""","0.15","true","999","42.670460229744464","3.8","618.856"
"385","""edge""","0.15","true","999","40.94435878718476","3.32","599.2459999999999"
"386","""edge""","0.15","true","999","41.23737681916305","5.04","605.978"
"387","""edge""","0.15","true","999","35.26119813268068","2.72","601.1700000000001"
"389","""edge""","0.15","true","999","42.16577227059356","2.96","603.3600000000001"
