"BehaviorSpace results (NetLogo 6.0.2)"
"butterfly_class_7.nlogo"
"optimize-mating-big"
"01/30/2018 02:52:39:900 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","149","0","149"
"[run number]","initialization","q","real-terrain","[step]","corridor-width","cluster-size","mean-elevation"
"136","""edge""","0.05","true","999","39.796633645385626","1.56","544.4980000000002"
"135","""edge""","0.05","true","999","43.35033602596917","1.6","540.7660000000001"
"137","""edge""","0.05","true","999","38.633700508171444","1.6","538.392"
"138","""edge""","0.05","true","999","39.469311961566625","1.72","544.7619999999998"
"140","""edge""","0.05","true","999","41.53731032313858","1.8","547.826"
"139","""edge""","0.05","true","999","39.806310544212664","1.76","551.1559999999996"
"141","""edge""","0.05","true","999","46.02257365046021","1.56","546.354"
"142","""edge""","0.05","true","999","35.21019507881304","1.8","531.7760000000003"
"144","""edge""","0.05","true","999","38.35029714663246","1.84","551.8420000000001"
"145","""edge""","0.05","true","999","35.97130511258622","2","543.584"
"146","""edge""","0.05","true","999","36.75052404805161","1.76","524.3480000000003"
"143","""edge""","0.05","true","999","38.169502981652805","1.68","538.52"
"147","""edge""","0.05","true","999","37.14548445797417","2.16","553.0739999999998"
"148","""edge""","0.05","true","999","41.372870454118754","1.72","538.3259999999998"
"150","""edge""","0.05","true","999","45.00781898564112","1.64","563.4179999999999"
"149","""edge""","0.05","true","999","40.3352185800037","1.24","519.948"
"151","""edge""","0.05","true","999","36.74442167540283","1.76","554.2959999999999"
"152","""edge""","0.05","true","999","42.70914594131551","1.88","540.8419999999999"
"153","""edge""","0.05","true","999","41.5379188743321","1.56","537.412"
"155","""edge""","0.05","true","999","42.957449675201325","1.68","534.846"
"156","""edge""","0.05","true","999","38.81321176991494","1.56","535.188"
"154","""edge""","0.05","true","999","49.107109343348455","1.32","562.1879999999999"
"157","""edge""","0.05","true","999","36.99268477702238","2.08","529.812"
"158","""edge""","0.05","true","999","42.729816752519085","1.8","543.0420000000001"
"159","""edge""","0.05","true","999","42.87443977590751","1.64","551.3920000000002"
"160","""edge""","0.05","true","999","46.69910090394277","1.52","545.172"
"161","""edge""","0.05","true","999","48.02232130681277","1.44","558.5300000000001"
"162","""edge""","0.05","true","999","43.56712943182931","1.84","546.0559999999999"
"164","""edge""","0.05","true","999","42.030590828269624","1.6","552.638"
"165","""edge""","0.05","true","999","43.11610214022972","1.96","568.3059999999998"
"166","""edge""","0.05","true","999","39.56961489380593","1.84","548.17"
"163","""edge""","0.05","true","999","35.66929146102676","1.92","542.4259999999999"
"167","""edge""","0.05","true","999","49.55693899751982","1.64","565.3820000000001"
"168","""edge""","0.05","true","999","47.04517302667318","1.92","552.9200000000001"
"169","""edge""","0.05","true","999","40.80438945174204","1.56","545.7280000000001"
"171","""edge""","0.05","true","999","36.17876318728429","1.84","555.086"
"170","""edge""","0.05","true","999","38.09536219359087","2.08","530.836"
"172","""edge""","0.05","true","999","42.01583821814509","1.56","532.0360000000002"
"173","""edge""","0.05","true","999","42.353164082804405","1.6","525.7180000000001"
"174","""edge""","0.05","true","999","42.14927930450944","1.6","529.78"
"175","""edge""","0.05","true","999","44.09684190232341","1.64","543.672"
"176","""edge""","0.05","true","999","50.00221349075224","1.64","560.7840000000001"
"178","""edge""","0.05","true","999","45.72419909107046","1.4","527.4239999999999"
"177","""edge""","0.05","true","999","38.837348595422064","1.88","564.7320000000001"
"179","""edge""","0.05","true","999","49.33940675764127","1.48","535.2420000000001"
"180","""edge""","0.05","true","999","44.088919810827555","1.6","544.988"
"181","""edge""","0.05","true","999","45.09999632013194","1.56","551.9920000000001"
"182","""edge""","0.05","true","999","47.96666801467058","1.76","540.5940000000002"
"183","""edge""","0.05","true","999","47.91292402629404","1.68","551.5560000000002"
"184","""edge""","0.05","true","999","37.041149706120734","1.88","553.1100000000001"
"187","""edge""","0.05","true","999","40.8446877961654","1.64","547.3699999999999"
"188","""edge""","0.05","true","999","36.899881674350844","1.96","532.996"
"185","""edge""","0.05","true","999","43.14070928457568","1.96","539.514"
"186","""edge""","0.05","true","999","36.555970963219615","1.8","548.0360000000001"
"190","""edge""","0.05","true","999","44.31439560188166","2.12","537.1160000000001"
"189","""edge""","0.05","true","999","42.953955726828205","2.2","548.7399999999999"
"191","""edge""","0.05","true","999","44.96858691694376","1.44","537.092"
"192","""edge""","0.05","true","999","39.11196509878536","1.76","535.3000000000001"
"193","""edge""","0.05","true","999","37.357047035931664","1.84","561.0020000000001"
"194","""edge""","0.05","true","999","41.363631604492426","1.56","537.9999999999999"
"195","""edge""","0.05","true","999","39.87737458323998","1.84","550.8259999999999"
"196","""edge""","0.05","true","999","31.756484305984177","2","548.3080000000001"
"197","""edge""","0.05","true","999","37.469085930719494","1.8","542.5459999999998"
"198","""edge""","0.05","true","999","41.83599300831945","1.88","515.2900000000002"
"199","""edge""","0.05","true","999","46.31250985869137","1.72","549.2140000000002"
"200","""edge""","0.05","true","999","46.03116649676538","1.72","538.976"
"201","""edge""","0.1","true","999","48.425165770639175","2.08","582.234"
"202","""edge""","0.1","true","999","41.14158061175313","1.96","585.466"
"203","""edge""","0.1","true","999","37.9986999092225","2.16","587.8979999999998"
"204","""edge""","0.1","true","999","45.74154626570551","1.92","566.2959999999999"
"205","""edge""","0.1","true","999","43.37315921539161","2.08","573.81"
"206","""edge""","0.1","true","999","49.057554224521986","2.16","583.7020000000001"
"209","""edge""","0.1","true","999","45.188460067397656","2.64","574.8700000000001"
"210","""edge""","0.1","true","999","46.22326474204533","1.8","570.0600000000001"
"207","""edge""","0.1","true","999","55.16558739515395","1.32","580.918"
"208","""edge""","0.1","true","999","45.99143146019429","2.56","583.272"
"211","""edge""","0.1","true","999","46.535257130863094","2.24","570.468"
"212","""edge""","0.1","true","999","42.940702967865846","2.04","579.8540000000002"
"213","""edge""","0.1","true","999","44.91518192103907","1.96","574.7840000000001"
"214","""edge""","0.1","true","999","43.99320701039518","1.6","570.956"
"216","""edge""","0.1","true","999","40.01263343016358","1.68","568.6039999999998"
"215","""edge""","0.1","true","999","47.38543176624569","2","581.262"
"217","""edge""","0.1","true","999","50.607404245592186","1.8","590.086"
"218","""edge""","0.1","true","999","48.281763139709525","2","582.722"
"219","""edge""","0.1","true","999","45.54804843016915","1.84","571.2700000000001"
"220","""edge""","0.1","true","999","46.294717255674435","2.28","578.7320000000001"
"221","""edge""","0.1","true","999","37.41682117563982","2.04","575.5160000000002"
"222","""edge""","0.1","true","999","43.75391435412296","1.92","585.3880000000001"
"223","""edge""","0.1","true","999","34.53477035232312","2.08","563.534"
"224","""edge""","0.1","true","999","49.916977605713534","1.52","577.9420000000001"
"226","""edge""","0.1","true","999","48.06414167149509","1.68","570.898"
"227","""edge""","0.1","true","999","36.401256545653986","2.68","578.6340000000001"
"225","""edge""","0.1","true","999","48.49572247552721","1.88","570.634"
"228","""edge""","0.1","true","999","48.31126558701558","2.04","580.3040000000001"
"230","""edge""","0.1","true","999","38.08473396749818","2.84","571.2220000000001"
"231","""edge""","0.1","true","999","42.88336196389331","1.92","562.634"
"229","""edge""","0.1","true","999","46.12358348160449","2.04","579.3740000000001"
"233","""edge""","0.1","true","999","50.210421579060366","1.6","576.534"
"232","""edge""","0.1","true","999","47.94615395361188","1.76","564.6940000000002"
"234","""edge""","0.1","true","999","35.972097014129794","2.52","587.202"
"237","""edge""","0.1","true","999","41.26960015408328","2.24","587.794"
"235","""edge""","0.1","true","999","48.88765730494947","2","585.1819999999999"
"236","""edge""","0.1","true","999","33.81915051313335","2.2","572.7520000000001"
"238","""edge""","0.1","true","999","33.95570570722403","1.84","567.4239999999998"
"239","""edge""","0.1","true","999","43.44352231307273","1.96","570.8100000000002"
"240","""edge""","0.1","true","999","46.045980248852935","2","577.1519999999999"
"243","""edge""","0.1","true","999","45.66985163102406","2","568.95"
"241","""edge""","0.1","true","999","40.743342684271745","2.2","574.9199999999998"
"242","""edge""","0.1","true","999","48.93401735338448","2.32","578.8560000000001"
"244","""edge""","0.1","true","999","37.850316470338015","2.84","583.5139999999999"
"245","""edge""","0.1","true","999","36.71283836688017","3.12","583.9660000000001"
"246","""edge""","0.1","true","999","40.797497559023164","2.72","580.01"
"247","""edge""","0.1","true","999","45.615176088361245","2.44","563.3179999999999"
"248","""edge""","0.1","true","999","40.158755077105106","2","566.4339999999999"
"250","""edge""","0.1","true","999","34.515648819492874","2.56","578.5959999999999"
"249","""edge""","0.1","true","999","39.992238656940856","1.96","569.81"
"251","""edge""","0.1","true","999","51.548343815466865","1.68","590.1140000000003"
"252","""edge""","0.1","true","999","45.1139545257642","2.24","582.8019999999999"
"254","""edge""","0.1","true","999","44.10166580341124","1.96","580.964"
"253","""edge""","0.1","true","999","44.07536732325275","2.64","579.048"
"255","""edge""","0.1","true","999","42.67778234761925","1.96","573.8360000000002"
"257","""edge""","0.1","true","999","44.00856945070972","1.92","576.462"
