"BehaviorSpace results (NetLogo 5.3.1)"
"telemarketer_class_14.nlogo"
"vary_initial_telemarketers"
"02/23/2017 01:21:55:623 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","growth-param","initial-num-marketers","[step]","count turtles"
"17","1000","50","19","50"
"12","1000","50","20","50"
"6","1000","50","18","50"
"9","1000","50","19","50"
"5","1000","50","20","50"
"3","1000","50","20","50"
"16","1000","50","20","50"
"8","1000","50","21","50"
"2","1000","50","20","50"
"7","1000","50","21","50"
"20","1000","50","20","50"
"13","1000","50","21","50"
"1","1000","50","12","50"
"4","1000","50","21","50"
"18","1000","50","20","50"
"19","1000","50","22","50"
"10","1000","50","21","50"
"15","1000","50","20","50"
"6","1000","50","19","50"
"17","1000","50","20","50"
"12","1000","50","21","50"
"11","1000","50","20","50"
"5","1000","50","21","50"
"3","1000","50","21","50"
"14","1000","50","18","50"
"9","1000","50","20","50"
"8","1000","50","22","50"
"16","1000","50","21","50"
"2","1000","50","21","50"
"13","1000","50","22","50"
"7","1000","50","22","50"
"4","1000","50","22","50"
"20","1000","50","21","50"
"18","1000","50","21","50"
"6","1000","50","20","50"
"12","1000","50","22","50"
"10","1000","50","22","50"
"1","1000","50","13","50"
"15","1000","50","21","50"
"11","1000","50","21","50"
"19","1000","50","23","50"
"17","1000","50","21","50"
"8","1000","50","23","50"
"3","1000","50","22","50"
"5","1000","50","22","50"
"14","1000","50","19","50"
"9","1000","50","21","50"
"2","1000","50","22","50"
"4","1000","50","23","50"
"16","1000","50","22","50"
"7","1000","50","23","50"
"13","1000","50","23","50"
"18","1000","50","22","50"
"12","1000","50","23","50"
"10","1000","50","23","50"
"20","1000","50","22","50"
"15","1000","50","22","50"
"6","1000","50","21","50"
"8","1000","50","24","50"
"1","1000","50","14","50"
"19","1000","50","24","50"
"3","1000","50","23","50"
"5","1000","50","23","50"
"11","1000","50","22","50"
"17","1000","50","22","50"
"9","1000","50","22","50"
"14","1000","50","20","50"
"2","1000","50","23","50"
"7","1000","50","24","50"
"4","1000","50","24","50"
"16","1000","50","23","50"
"12","1000","50","24","50"
"13","1000","50","24","50"
"18","1000","50","23","50"
"10","1000","50","24","50"
"20","1000","50","23","50"
"15","1000","50","23","50"
"6","1000","50","22","50"
"11","1000","50","23","50"
"1","1000","50","15","50"
"19","1000","50","25","50"
"5","1000","50","24","50"
"3","1000","50","24","50"
"8","1000","50","25","50"
"9","1000","50","23","50"
"14","1000","50","21","50"
"17","1000","50","23","50"
"12","1000","50","25","50"
"7","1000","50","25","50"
"4","1000","50","25","50"
"16","1000","50","24","50"
"2","1000","50","24","50"
"15","1000","50","24","50"
"13","1000","50","25","50"
"6","1000","50","23","50"
"18","1000","50","24","50"
"5","1000","50","25","50"
"20","1000","50","24","50"
"1","1000","50","16","50"
"10","1000","50","25","50"
"19","1000","50","26","50"
"11","1000","50","24","50"
"8","1000","50","26","50"
"14","1000","50","22","50"
"9","1000","50","24","50"
"17","1000","50","24","50"
"3","1000","50","25","50"
"12","1000","50","26","50"
"7","1000","50","26","50"
"2","1000","50","25","50"
"15","1000","50","25","50"
"6","1000","50","24","50"
"16","1000","50","25","50"
"4","1000","50","26","50"
"1","1000","50","17","50"
"18","1000","50","25","50"
"13","1000","50","26","50"
"20","1000","50","25","50"
"10","1000","50","26","50"
"5","1000","50","26","50"
"8","1000","50","27","50"
"11","1000","50","25","50"
"19","1000","50","27","50"
"9","1000","50","25","50"
"17","1000","50","25","50"
"14","1000","50","23","50"
"3","1000","50","26","50"
"2","1000","50","26","50"
"6","1000","50","25","50"
"15","1000","50","26","50"
"7","1000","50","27","50"
"1","1000","50","18","50"
"13","1000","50","27","50"
"16","1000","50","26","50"
"12","1000","50","27","50"
"5","1000","50","27","50"
"10","1000","50","27","50"
"20","1000","50","26","50"
"18","1000","50","26","50"
"8","1000","50","28","50"
"4","1000","50","27","50"
"19","1000","50","28","50"
"11","1000","50","26","50"
"3","1000","50","27","50"
"14","1000","50","24","50"
"9","1000","50","26","50"
"17","1000","50","26","50"
"2","1000","50","27","50"
"6","1000","50","26","50"
