"BehaviorSpace results (NetLogo 5.3)"
"Telemarketer_mergers.nlogo"
"experiment"
"02/25/2016 04:55:10:684 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","initial-num-marketers","growth-param","[step]","count turtles"
"4","50","1000","110","1"
"2","50","1000","103","1"
"3","50","1000","100","1"
"1","50","1000","78","4"
"4","50","1000","111","1"
"2","50","1000","104","1"
"3","50","1000","101","1"
"1","50","1000","79","4"
"4","50","1000","112","1"
"2","50","1000","105","1"
"3","50","1000","102","1"
"1","50","1000","80","4"
"4","50","1000","113","1"
"2","50","1000","106","1"
"3","50","1000","103","1"
"1","50","1000","81","4"
"2","50","1000","107","1"
"4","50","1000","114","1"
"3","50","1000","104","1"
"1","50","1000","82","4"
"2","50","1000","108","1"
"4","50","1000","115","1"
"3","50","1000","105","1"
"1","50","1000","83","4"
"2","50","1000","109","1"
"4","50","1000","116","1"
"3","50","1000","106","1"
"2","50","1000","110","1"
"3","50","1000","107","1"
"1","50","1000","84","4"
"2","50","1000","111","1"
"3","50","1000","108","1"
"4","50","1000","117","1"
"1","50","1000","85","3"
"2","50","1000","112","1"
"3","50","1000","109","1"
"4","50","1000","118","1"
"1","50","1000","86","3"
"2","50","1000","113","1"
"3","50","1000","110","1"
"4","50","1000","119","1"
"2","50","1000","114","1"
"1","50","1000","87","2"
"4","50","1000","120","1"
"3","50","1000","111","1"
"2","50","1000","115","1"
"1","50","1000","88","2"
"4","50","1000","121","1"
"3","50","1000","112","1"
"2","50","1000","116","1"
"4","50","1000","122","1"
"1","50","1000","89","1"
"3","50","1000","113","1"
"2","50","1000","117","1"
"4","50","1000","123","1"
"3","50","1000","114","1"
"1","50","1000","90","1"
"2","50","1000","118","1"
"4","50","1000","124","1"
"3","50","1000","115","1"
"1","50","1000","91","1"
"4","50","1000","125","1"
"3","50","1000","116","1"
"2","50","1000","119","1"
"1","50","1000","92","1"
"4","50","1000","126","1"
"2","50","1000","120","1"
"3","50","1000","117","1"
"1","50","1000","93","1"
"4","50","1000","127","1"
"2","50","1000","121","1"
"3","50","1000","118","1"
"1","50","1000","94","1"
"4","50","1000","128","1"
"2","50","1000","122","1"
"3","50","1000","119","1"
"1","50","1000","95","1"
"4","50","1000","129","1"
"2","50","1000","123","1"
"3","50","1000","120","1"
"1","50","1000","96","1"
