"BehaviorSpace results (NetLogo 5.3.1)"
"telemarketer_mergers_class_14.nlogo"
"vary_initial_telemarketers"
"02/23/2017 01:22:28:800 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","initial-num-marketers","growth-param","[step]","count turtles"
"14","50","1000","20","50"
"8","50","1000","17","50"
"6","50","1000","11","50"
"10","50","1000","16","50"
"12","50","1000","15","50"
"2","50","1000","17","50"
"17","50","1000","12","50"
"18","50","1000","18","50"
"1","50","1000","11","50"
"15","50","1000","19","50"
"5","50","1000","20","50"
"4","50","1000","18","50"
"12","50","1000","16","50"
"3","50","1000","16","50"
"8","50","1000","18","50"
"6","50","1000","12","50"
"19","50","1000","20","50"
"14","50","1000","21","50"
"9","50","1000","18","50"
"20","50","1000","16","50"
"11","50","1000","14","50"
"13","50","1000","17","50"
"18","50","1000","19","50"
"4","50","1000","19","50"
"7","50","1000","19","50"
"3","50","1000","17","50"
"6","50","1000","13","50"
"1","50","1000","12","50"
"15","50","1000","20","50"
"5","50","1000","21","50"
"9","50","1000","19","50"
"20","50","1000","17","50"
"13","50","1000","18","50"
"14","50","1000","22","50"
"19","50","1000","21","50"
"10","50","1000","17","50"
"11","50","1000","15","50"
"6","50","1000","14","50"
"7","50","1000","20","50"
"18","50","1000","20","50"
"16","50","1000","12","50"
"13","50","1000","19","50"
"9","50","1000","20","50"
"15","50","1000","21","50"
"10","50","1000","18","50"
"6","50","1000","15","50"
"8","50","1000","19","50"
"5","50","1000","22","50"
"11","50","1000","16","50"
"14","50","1000","23","50"
"16","50","1000","13","50"
"13","50","1000","20","50"
"19","50","1000","22","50"
"7","50","1000","21","50"
"9","50","1000","21","50"
"10","50","1000","19","50"
"20","50","1000","18","50"
"1","50","1000","13","50"
"18","50","1000","21","50"
"4","50","1000","20","50"
"8","50","1000","20","50"
"15","50","1000","22","50"
"11","50","1000","17","50"
"5","50","1000","23","50"
"16","50","1000","14","50"
"14","50","1000","24","50"
"7","50","1000","22","50"
"13","50","1000","21","50"
"4","50","1000","21","50"
"20","50","1000","19","50"
"9","50","1000","22","50"
"17","50","1000","13","50"
"11","50","1000","18","50"
"10","50","1000","20","50"
"3","50","1000","18","50"
"8","50","1000","21","50"
"14","50","1000","25","50"
"18","50","1000","22","50"
"2","50","1000","18","50"
"1","50","1000","14","50"
"12","50","1000","17","50"
"4","50","1000","22","50"
"15","50","1000","23","50"
"10","50","1000","21","50"
"9","50","1000","23","50"
"16","50","1000","15","50"
"17","50","1000","14","50"
"6","50","1000","16","50"
"3","50","1000","19","50"
"8","50","1000","22","50"
"19","50","1000","23","50"
"14","50","1000","26","50"
"12","50","1000","18","50"
"1","50","1000","15","50"
"4","50","1000","23","50"
"5","50","1000","24","50"
"2","50","1000","19","50"
"15","50","1000","24","50"
"13","50","1000","22","50"
"16","50","1000","16","50"
"17","50","1000","15","50"
"3","50","1000","20","50"
"20","50","1000","20","50"
"9","50","1000","24","50"
"12","50","1000","19","50"
"18","50","1000","23","50"
"7","50","1000","23","50"
"19","50","1000","24","50"
"6","50","1000","17","50"
"3","50","1000","21","50"
"2","50","1000","20","50"
"1","50","1000","16","50"
"5","50","1000","25","50"
"13","50","1000","23","50"
"14","50","1000","27","50"
"12","50","1000","20","50"
"8","50","1000","23","50"
"17","50","1000","16","50"
"6","50","1000","18","50"
"20","50","1000","21","50"
"9","50","1000","25","50"
"10","50","1000","22","50"
"18","50","1000","24","50"
"15","50","1000","25","50"
"13","50","1000","24","50"
"19","50","1000","25","50"
"17","50","1000","17","50"
"6","50","1000","19","50"
"14","50","1000","28","50"
"8","50","1000","24","50"
"4","50","1000","24","50"
"2","50","1000","21","50"
"1","50","1000","17","50"
"16","50","1000","17","50"
"20","50","1000","22","50"
"18","50","1000","25","50"
"12","50","1000","21","50"
"7","50","1000","24","50"
"11","50","1000","19","50"
"5","50","1000","26","50"
"15","50","1000","26","50"
"9","50","1000","26","50"
"10","50","1000","23","50"
"4","50","1000","25","50"
"8","50","1000","25","50"
"19","50","1000","26","50"
"2","50","1000","22","50"
"16","50","1000","18","50"
"1","50","1000","18","50"
"12","50","1000","22","50"
"3","50","1000","22","50"
"11","50","1000","20","50"
"17","50","1000","18","50"
"14","50","1000","29","50"
"10","50","1000","24","50"
"18","50","1000","26","50"
"9","50","1000","27","50"
"7","50","1000","25","50"
"1","50","1000","19","50"
"12","50","1000","23","50"
"13","50","1000","25","50"
"19","50","1000","27","50"
"16","50","1000","19","50"
"3","50","1000","23","50"
"6","50","1000","20","50"
"5","50","1000","27","50"
"14","50","1000","30","50"
"20","50","1000","23","50"
"7","50","1000","26","50"
"8","50","1000","26","50"
"15","50","1000","27","50"
"11","50","1000","21","50"
"2","50","1000","23","50"
"16","50","1000","20","50"
"3","50","1000","24","50"
"5","50","1000","28","50"
"10","50","1000","25","50"
"19","50","1000","28","50"
"18","50","1000","27","50"
"4","50","1000","26","50"
"2","50","1000","24","50"
"1","50","1000","20","50"
"8","50","1000","27","50"
"15","50","1000","28","50"
"9","50","1000","28","50"
"13","50","1000","26","50"
"12","50","1000","24","50"
"3","50","1000","25","50"
"17","50","1000","19","50"
"6","50","1000","21","50"
"14","50","1000","31","50"
"20","50","1000","24","50"
"7","50","1000","27","50"
"5","50","1000","29","50"
"2","50","1000","25","50"
"19","50","1000","29","50"
"18","50","1000","28","50"
"17","50","1000","20","50"
"10","50","1000","26","50"
"6","50","1000","22","50"
"13","50","1000","27","50"
"9","50","1000","29","50"
"8","50","1000","28","50"
"11","50","1000","22","50"
"12","50","1000","25","50"
"16","50","1000","21","50"
"14","50","1000","32","50"
"1","50","1000","21","50"
"20","50","1000","25","50"
"4","50","1000","27","50"
"5","50","1000","30","50"
"17","50","1000","21","50"
"6","50","1000","23","50"
"10","50","1000","27","50"
"7","50","1000","28","50"
"15","50","1000","29","50"
"19","50","1000","30","50"
"12","50","1000","26","50"
"3","50","1000","26","50"
"16","50","1000","22","50"
"8","50","1000","29","50"
"13","50","1000","28","50"
"18","50","1000","29","50"
"2","50","1000","26","50"
"1","50","1000","22","50"
"11","50","1000","23","50"
"9","50","1000","30","50"
"20","50","1000","26","50"
"4","50","1000","28","50"
"17","50","1000","22","50"
"14","50","1000","33","50"
"15","50","1000","30","50"
"16","50","1000","23","50"
"10","50","1000","28","50"
"3","50","1000","27","50"
"7","50","1000","29","50"
"1","50","1000","23","50"
"13","50","1000","29","50"
"5","50","1000","31","50"
"19","50","1000","31","50"
"8","50","1000","30","50"
"2","50","1000","27","50"
"17","50","1000","23","50"
"20","50","1000","27","50"
"18","50","1000","30","50"
"9","50","1000","31","50"
"12","50","1000","27","50"
"14","50","1000","34","50"
"12","50","1000","28","50"
"4","50","1000","29","50"
"5","50","1000","32","50"
"7","50","1000","30","50"
"8","50","1000","31","50"
"15","50","1000","31","50"
"13","50","1000","30","50"
"10","50","1000","29","50"
"6","50","1000","24","50"
"1","50","1000","24","50"
"16","50","1000","24","50"
"17","50","1000","24","50"
"3","50","1000","28","50"
"2","50","1000","28","50"
"11","50","1000","24","50"
"14","50","1000","35","50"
"19","50","1000","32","50"
"18","50","1000","31","50"
"9","50","1000","32","50"
"4","50","1000","30","50"
"20","50","1000","28","50"
"15","50","1000","32","50"
"5","50","1000","33","50"
"1","50","1000","25","50"
"7","50","1000","31","50"
"6","50","1000","25","50"
"3","50","1000","29","50"
"13","50","1000","31","50"
"19","50","1000","33","50"
"11","50","1000","25","50"
"14","50","1000","36","50"
"2","50","1000","29","50"
"8","50","1000","32","50"
"9","50","1000","33","50"
"18","50","1000","32","50"
"3","50","1000","30","50"
"7","50","1000","32","50"
"20","50","1000","29","50"
"5","50","1000","34","50"
"12","50","1000","29","50"
"10","50","1000","30","50"
"16","50","1000","25","50"
"2","50","1000","30","50"
"15","50","1000","33","50"
"4","50","1000","31","50"
"1","50","1000","26","50"
"17","50","1000","25","50"
"8","50","1000","33","50"
"12","50","1000","30","50"
"14","50","1000","37","50"
"6","50","1000","26","50"
"10","50","1000","31","50"
"19","50","1000","34","50"
"16","50","1000","26","50"
"4","50","1000","32","50"
"17","50","1000","26","50"
"11","50","1000","26","50"
"9","50","1000","34","50"
"1","50","1000","27","50"
"15","50","1000","34","50"
"7","50","1000","33","50"
"5","50","1000","35","50"
"10","50","1000","32","50"
"18","50","1000","33","50"
"13","50","1000","32","50"
"1","50","1000","28","50"
"8","50","1000","34","50"
"14","50","1000","38","50"
"20","50","1000","30","50"
"4","50","1000","33","50"
"12","50","1000","31","50"
"19","50","1000","35","50"
"9","50","1000","35","50"
"2","50","1000","31","50"
"15","50","1000","35","50"
"11","50","1000","27","50"
"3","50","1000","31","50"
"6","50","1000","27","50"
"16","50","1000","27","50"
"5","50","1000","36","50"
"10","50","1000","33","50"
"1","50","1000","29","50"
"8","50","1000","35","50"
"20","50","1000","31","50"
"2","50","1000","32","50"
"7","50","1000","34","50"
"18","50","1000","34","50"
"3","50","1000","32","50"
"13","50","1000","33","50"
"19","50","1000","36","50"
"12","50","1000","32","50"
"14","50","1000","39","50"
"6","50","1000","28","50"
"9","50","1000","36","50"
"5","50","1000","37","50"
"10","50","1000","34","50"
"15","50","1000","36","50"
"7","50","1000","35","50"
"1","50","1000","30","50"
"17","50","1000","27","50"
"11","50","1000","28","50"
"8","50","1000","36","50"
"18","50","1000","35","50"
"4","50","1000","34","50"
"14","50","1000","40","50"
"20","50","1000","32","50"
"19","50","1000","37","50"
"16","50","1000","28","50"
"17","50","1000","28","50"
"10","50","1000","35","50"
"11","50","1000","29","50"
"6","50","1000","29","50"
"9","50","1000","37","50"
"12","50","1000","33","50"
"5","50","1000","38","50"
"13","50","1000","34","50"
"3","50","1000","33","50"
"2","50","1000","33","50"
"1","50","1000","31","50"
"15","50","1000","37","50"
"4","50","1000","35","50"
"8","50","1000","37","50"
"7","50","1000","36","50"
"17","50","1000","29","50"
"20","50","1000","33","50"
"19","50","1000","38","50"
"6","50","1000","30","50"
"16","50","1000","29","50"
"18","50","1000","36","50"
"14","50","1000","41","50"
"10","50","1000","36","50"
"11","50","1000","30","50"
"3","50","1000","34","50"
"13","50","1000","35","50"
"5","50","1000","39","50"
"12","50","1000","34","50"
"2","50","1000","34","50"
"9","50","1000","38","50"
"6","50","1000","31","50"
"1","50","1000","32","50"
"15","50","1000","38","50"
"17","50","1000","30","50"
"20","50","1000","34","50"
"4","50","1000","36","50"
"8","50","1000","38","50"
"16","50","1000","30","50"
"7","50","1000","37","50"
"19","50","1000","39","50"
"11","50","1000","31","50"
"10","50","1000","37","50"
"18","50","1000","37","50"
"3","50","1000","35","50"
"12","50","1000","35","50"
"17","50","1000","31","50"
"14","50","1000","42","50"
"1","50","1000","33","50"
"13","50","1000","36","50"
"5","50","1000","40","50"
"8","50","1000","39","49"
"2","50","1000","35","50"
"15","50","1000","39","50"
"3","50","1000","36","50"
"4","50","1000","37","50"
"12","50","1000","36","50"
"9","50","1000","39","50"
"19","50","1000","40","50"
"7","50","1000","38","50"
"18","50","1000","38","50"
"13","50","1000","37","50"
"6","50","1000","32","50"
"2","50","1000","36","50"
"1","50","1000","34","50"
"5","50","1000","41","49"
"20","50","1000","35","50"
"11","50","1000","32","50"
"8","50","1000","40","49"
"4","50","1000","38","50"
"10","50","1000","38","50"
"14","50","1000","43","50"
"16","50","1000","31","50"
"15","50","1000","40","50"
"19","50","1000","41","48"
"9","50","1000","40","50"
"18","50","1000","39","50"
"7","50","1000","39","50"
"1","50","1000","35","50"
"20","50","1000","36","50"
"5","50","1000","42","48"
"12","50","1000","37","50"
"13","50","1000","38","50"
"3","50","1000","37","50"
"6","50","1000","33","50"
"16","50","1000","32","50"
"8","50","1000","41","49"
"19","50","1000","42","47"
"10","50","1000","39","50"
"17","50","1000","32","50"
"2","50","1000","37","50"
"14","50","1000","44","49"
"9","50","1000","41","49"
"7","50","1000","40","50"
"3","50","1000","38","50"
"4","50","1000","39","50"
"18","50","1000","40","50"
"1","50","1000","36","50"
"8","50","1000","42","47"
"15","50","1000","41","50"
"2","50","1000","38","50"
"12","50","1000","38","50"
"5","50","1000","43","47"
"14","50","1000","45","47"
"20","50","1000","37","50"
"10","50","1000","40","50"
"17","50","1000","33","50"
"19","50","1000","43","47"
"8","50","1000","43","47"
"12","50","1000","39","50"
"13","50","1000","39","50"
"18","50","1000","41","50"
"1","50","1000","37","50"
"4","50","1000","40","50"
"7","50","1000","41","50"
"9","50","1000","42","49"
"16","50","1000","33","50"
"11","50","1000","33","50"
"17","50","1000","34","50"
"5","50","1000","44","47"
"14","50","1000","46","46"
"15","50","1000","42","49"
"6","50","1000","34","50"
"10","50","1000","41","50"
"13","50","1000","40","50"
"19","50","1000","44","47"
"8","50","1000","44","47"
"4","50","1000","41","50"
"1","50","1000","38","50"
"3","50","1000","39","50"
"20","50","1000","38","50"
"14","50","1000","47","46"
"18","50","1000","42","48"
"7","50","1000","42","50"
"9","50","1000","43","48"
"16","50","1000","34","50"
"15","50","1000","43","48"
"10","50","1000","42","50"
"17","50","1000","35","50"
"11","50","1000","34","50"
"5","50","1000","45","46"
"12","50","1000","40","49"
"6","50","1000","35","50"
"4","50","1000","42","50"
"13","50","1000","41","50"
"2","50","1000","39","50"
"8","50","1000","45","45"
"3","50","1000","40","50"
"19","50","1000","45","47"
"20","50","1000","39","50"
"16","50","1000","35","50"
