"BehaviorSpace results (NetLogo 6.0.2)"
"BusinessInvestor.nlogo"
"vary-time-horizon"
"02/20/2018 04:06:18:929 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","18","0","18"
"[run number]","profit-multiplier","risk-multiplier","vision-mode","sense-radius","failure-max","turtle-coloring-mode","failure-min","max-ticks","color-patches-by","num-investors","time-horizon","[step]","mean [wealth] of turtles","mean [failures] of turtles","mean [profit] of turtles","mean [p-failure] of turtles"
"67","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","4","24","129933.04732764012","0.88","7240.7046675074325","0.032896301364900495"
"72","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","4","24","124482.49340809356","1.13","7583.161802823101","0.03520502920537217"
"69","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","4","24","136298.4655550008","0.79","7213.048602505528","0.031800853379259544"
"73","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","4","24","124857.61130682238","1.11","7409.5793109601655","0.03496822849948805"
"77","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","4","24","123669.85919040123","1.06","7669.827989992202","0.03585515348228857"
"56","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","3","24","122385.13897503208","1.03","7290.188494766868","0.03910458350724461"
"76","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","4","24","134288.8166218222","0.93","7337.052712016513","0.03401907534979935"
"85","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","5","24","127651.00930386657","0.88","6925.633417998005","0.03144063178722665"
"75","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","4","24","131601.07570022522","1","7408.179880880979","0.032329416996422784"
"83","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","5","24","122916.00441200919","0.92","7507.149172454049","0.03355739628456507"
"87","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","5","24","126774.65730577527","0.91","7315.785838177366","0.03314910936101294"
"81","1","1","""neighbors""","2","0.1","""wealth""","0.01","25","""exp utility""","100","5","24","130538.54996158247","0.95","7298.371391358005","0.033300202071921865"
