"BehaviorSpace results (NetLogo 6.2.0)"
"butterfly_class_06b.nlogo"
"terrrain-experiment"
"09/14/2021 10:33:07:405 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","149","0","149"
"[run number]","q","real-terrain","concentrate-turtles","[step]","corridor-width","mean [elevation] of turtles"
"85","0.4","false","true","999","96.09249023705605","399.21579788108005"
"87","0.4","false","true","999","100.1543642780367","399.13417524956446"
"89","0.4","false","true","999","101.66063409644717","399.1155848509853"
"86","0.4","false","true","999","97.69313080606572","399.04476132160596"
"88","0.4","false","true","999","100.34002201672978","399.10908367486104"
"90","0.4","false","true","999","97.87141890776876","399.1952661680068"
"92","0.4","false","true","999","96.93222730842832","399.20285179723965"
"91","0.4","false","true","999","98.90066421364526","399.1405610313286"
"93","0.4","false","true","999","98.03455145539687","399.2185367764656"
"94","0.4","false","true","999","98.54612881316389","399.125314899384"
"95","0.4","false","true","999","97.41967672760096","399.1734595285655"
"96","0.4","false","true","999","95.31341191170824","399.1149025435406"
"98","0.4","false","true","999","98.21979419047575","399.19239051618365"
"100","0.4","false","true","999","101.20757645797445","399.2604171598458"
"99","0.4","false","true","999","98.12009712280596","399.1851514136357"
"97","0.4","false","true","999","98.62986285235453","399.18148339513243"
"101","0.4","true","true","999","61.78900075206313","604.955"
"102","0.4","true","true","999","61.21322053850947","604.9706000000002"
"103","0.4","true","true","999","62.92522179879901","600.9019999999998"
"104","0.4","true","true","999","63.41991251694377","603.4499999999998"
"106","0.4","true","true","999","59.147630189552665","603.1498000000003"
"105","0.4","true","true","999","59.56454845343806","605.1351999999997"
"107","0.4","true","true","999","58.69538473803749","604.0845999999995"
"111","0.4","true","true","999","56.53001729427594","604.0661999999995"
"110","0.4","true","true","999","64.75898685685348","603.8691999999998"
"108","0.4","true","true","999","60.14076104406309","604.3255999999998"
"109","0.4","true","true","999","60.44389485244878","605.1567999999999"
"113","0.4","true","true","999","57.87538080333281","602.6214"
"112","0.4","true","true","999","58.54621370610854","605.6093999999999"
"114","0.4","true","true","999","68.56130624062882","601.2668000000003"
"115","0.4","true","true","999","62.8857978009554","604.2757999999995"
"116","0.4","true","true","999","59.631693498156814","602.0763999999998"
"118","0.4","true","true","999","58.29735054716923","605.9590000000001"
"117","0.4","true","true","999","59.76142222618982","603.12"
"119","0.4","true","true","999","70.24760034324231","601.5423999999998"
"120","0.4","true","true","999","57.66009447276075","603.9117999999997"
"121","0.6","false","true","999","73.75513982869334","399.68013762903104"
"122","0.6","false","true","999","70.3712179096582","399.6899312378341"
"124","0.6","false","true","999","70.98682024131381","399.6821109956732"
"123","0.6","false","true","999","74.06066450103567","399.61538052090214"
"125","0.6","false","true","999","69.73908157457306","399.67629461337333"
"126","0.6","false","true","999","72.25429961385169","399.66905519011965"
"127","0.6","false","true","999","69.03993279153262","399.6412264433809"
"129","0.6","false","true","999","73.70805876832354","399.67910648127344"
"128","0.6","false","true","999","70.82858400031526","399.6710867906549"
"130","0.6","false","true","999","74.32784471785115","399.6567976118375"
"131","0.6","false","true","999","70.27613899414591","399.6598774172468"
"132","0.6","false","true","999","70.76971250711522","399.67165833708225"
"134","0.6","false","true","999","71.01737540746929","399.6851819612473"
"133","0.6","false","true","999","68.83327806020867","399.6581497141152"
"135","0.6","false","true","999","72.31523328146868","399.6862537450261"
"136","0.6","false","true","999","69.65776415210055","399.6532913385521"
"137","0.6","false","true","999","70.97401469054465","399.63299922530615"
"138","0.6","false","true","999","71.76674574118793","399.70434324767035"
"139","0.6","false","true","999","69.30911495889647","399.6920967010486"
"140","0.6","false","true","999","68.52710157735564","399.7141426286285"
"141","0.6","true","true","999","32.83023544517136","597.8905999999995"
"142","0.6","true","true","999","33.884193331357885","600.0608000000001"
"143","0.6","true","true","999","34.55409020709833","598.1385999999999"
"144","0.6","true","true","999","31.67070842998639","598.5568000000001"
"145","0.6","true","true","999","33.37923581448519","598.4348000000006"
"146","0.6","true","true","999","33.33644500140188","598.8578"
"147","0.6","true","true","999","33.74302218137723","595.1509999999997"
"149","0.6","true","true","999","32.79038885013589","597.9169999999995"
"148","0.6","true","true","999","31.78358138769397","597.4504000000001"
"150","0.6","true","true","999","32.873785182089996","596.8926000000002"
"151","0.6","true","true","999","30.323024677228744","599.5554000000004"
