"","run","profit.multiplier","risk.multiplier","vision.mode","sense.radius","failure.max","turtle.coloring.mode","failure.min","max.ticks","color.patches.by","num.investors","time.horizon","tick","wealth","failures","profit","risk"
"56",56,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,3,24,122385.138975032,1.03,7290.18849476687,0.0391045835072446
"57",57,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,3,24,142728.67682571,0.79,7060.26671937098,0.0320771394531301
"58",58,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,3,24,126020.176183754,1.07,7488.76290910325,0.0336692070722757
"59",59,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,3,24,126826.811448672,0.95,7288.53648843477,0.034983464744208
"60",60,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,3,24,130479.829756961,0.81,7307.28387974637,0.0321335130272381
"61",61,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,4,24,146313.667769355,0.85,7461.48220699531,0.030046631552547
"62",62,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,4,24,124345.439222294,1.04,7830.12019880036,0.0348523113867273
"63",63,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,4,24,132141.699442166,0.82,7413.23697123855,0.0298810563340904
"64",64,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,4,24,143554.728684042,0.8,7593.47680353978,0.0335550106887674
"65",65,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,4,24,118610.846962452,1.01,7149.55764379778,0.0343564764899475
"66",66,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,4,24,124370.34887776,1.02,7356.8770218549,0.0355220193624271
"67",67,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,4,24,129933.04732764,0.88,7240.70466750743,0.0328963013649005
"68",68,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,4,24,118396.388972135,0.99,6951.5218170934,0.0331020026486038
"69",69,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,4,24,136298.465555001,0.79,7213.04860250553,0.0318008533792595
"70",70,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,4,24,136934.691276969,0.78,7264.55758629881,0.0324028218144002
"71",71,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,4,24,133227.433770161,0.84,7602.33957270293,0.0332000946422711
"72",72,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,4,24,124482.493408094,1.13,7583.1618028231,0.0352050292053722
"73",73,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,4,24,124857.611306822,1.11,7409.57931096017,0.0349682284994881
"74",74,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,4,24,132578.318803546,0.97,7674.01957239552,0.0352555743006449
"75",75,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,4,24,131601.075700225,1,7408.17988088098,0.0323294169964228
"76",76,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,4,24,134288.816621822,0.93,7337.05271201651,0.0340190753497994
"77",77,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,4,24,123669.859190401,1.06,7669.8279899922,0.0358551534822886
"78",78,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,4,24,132491.109681327,0.88,7237.24802306117,0.0308827383568477
"79",79,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,4,24,130637.54776115,0.82,7356.2031636061,0.0298764257122969
"80",80,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,4,24,125152.62163693,0.89,7608.63755479335,0.031925093872111
"81",81,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,5,24,130538.549961582,0.95,7298.371391358,0.0333002020719219
"82",82,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,5,24,130328.814962338,0.81,7439.82029760322,0.0317535157895448
"83",83,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,5,24,122916.004412009,0.92,7507.14917245405,0.0335573962845651
"84",84,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,5,24,130753.961421059,0.86,7284.91867197886,0.0300823517033954
"85",85,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,5,24,127651.009303867,0.88,6925.633417998,0.0314406317872266
"86",86,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,5,24,136162.566250405,0.93,7441.06521652421,0.0314037555999143
"87",87,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,5,24,126774.657305775,0.91,7315.78583817737,0.0331491093610129
"88",88,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,5,24,124368.248944755,0.92,7358.18753622668,0.031544138207782
"89",89,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,5,24,138530.774641944,0.96,7671.4929474192,0.0318323945692511
"90",90,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,5,24,131383.651984474,0.84,7328.72941692647,0.0338967635106626
"91",91,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,5,24,110472.133211433,1.15,7240.17781011471,0.0372999707554518
"92",92,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,5,24,133367.714370858,0.78,7059.96128732302,0.0313145443985689
"93",93,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,5,24,126691.859645989,0.85,7159.9731811747,0.0308767343769142
"94",94,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,5,24,135385.239847047,0.9,7676.89931413737,0.0329993518327363
"95",95,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,5,24,139329.229320814,0.8,7337.04645882566,0.03065733057303
"96",96,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,5,24,127913.596177521,0.98,7554.36118337653,0.0357434500766111
"97",97,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,5,24,121650.614198874,1.12,7447.52629468097,0.0347731868790009
"98",98,1,1,"""neighbors""",2,0.1,"""wealth""",0.01,25,"""exp utility""",100,5,24,129410.773062179,0.96,7616.48648031218,0.0298780037303072
